kpi_id,constituency_id,report_date,visits_conducted,people_contacted,grievances_received,grievances_resolved,events_conducted,resources_distributed,promises_on_track,promises_delayed,alert_count,critical_alerts,sentiment_score,media_mentions,social_engagement,created_at
784b7c40-a7c5-4e24-b381-483361f83d0d,PC01,2025-01-01,5,773,29,21,1,46,21,3,4,1,0.49,11,1415,2025-01-01 23:55:00
486d9ac6-9d5e-4e69-bd4c-eb5ec2df6a05,PC01,2025-01-02,0,553,18,23,0,112,15,8,5,0,0.8,7,1038,2025-01-02 23:55:00
ea8286b0-cae8-4d32-b61c-59f5a56b6f53,PC01,2025-01-03,5,559,11,18,3,17,18,3,1,3,0.75,3,1546,2025-01-03 23:55:00
1695f57e-56c3-44d3-ba81-f57c1ee6de9c,PC01,2025-01-04,5,757,27,24,1,28,28,3,4,2,0.44,8,1210,2025-01-04 23:55:00
0241d05f-d59b-4cd5-aeae-b7864effdd92,PC01,2025-01-05,5,155,20,19,3,121,16,6,2,1,0.82,1,3253,2025-01-05 23:55:00
940093ba-8b17-4806-9ab2-1a22b219485e,PC01,2025-01-06,0,197,12,12,1,81,28,6,4,2,0.51,4,1266,2025-01-06 23:55:00
7d07870f-d833-47bf-afd4-a611915de4b1,PC01,2025-01-07,4,585,10,16,0,148,17,7,1,2,0.56,2,2291,2025-01-07 23:55:00
89b2d2cb-fbc8-4581-9dda-462728f9de9d,PC01,2025-01-08,3,83,20,19,3,121,22,8,8,0,0.61,12,1624,2025-01-08 23:55:00
f271cb1e-5407-4e3f-8cea-66d0c38359a8,PC01,2025-01-09,0,398,34,19,3,89,21,8,1,2,0.74,2,3261,2025-01-09 23:55:00
0c552a45-021a-457c-9354-0a9fed1f054d,PC01,2025-01-10,3,656,12,14,0,47,29,3,7,0,0.65,11,3519,2025-01-10 23:55:00
54a9f87e-d8d9-4325-9052-8bf6d35ededc,PC01,2025-01-11,4,673,11,13,0,131,17,8,2,2,0.55,6,3503,2025-01-11 23:55:00
3fdc3530-22e2-4f54-bb80-17dfaa94162b,PC01,2025-01-12,1,606,28,17,0,30,24,2,4,0,0.81,7,4075,2025-01-12 23:55:00
a66323a8-d130-4ef2-b0b1-87d0cda967a3,PC01,2025-01-13,4,84,15,13,2,36,17,5,5,0,0.69,3,1547,2025-01-13 23:55:00
