summary_id,constituency_id,report_date,report_period,overall_health_score,key_achievements,critical_issues,top_opportunities,immediate_actions,risk_alerts,constituency_mood,political_temperature,generated_by,reviewed_by,created_at,updated_at
723d5e69-fbdb-484e-b02c-e4fb1c7dd84a,PC01,2025-01-01,monthly,74,"[""Completed 4 infrastructure projects"", ""Resolved 167 grievances"", ""Conducted 23 public meetings""]","[""Water supply disruption in Ward 2"", ""Road repair pending for 32 days""]","[""High youth engagement opportunity"", ""Strong community support for education initiative""]","[""Schedule visit to high-risk ward"", ""Address water supply issue urgently""]","[""Opposition activity increasing in Ward 5""]",cautiously_positive,61,ai_system,admin,2025-01-01 09:00:00,2025-01-01 18:00:00
b2874347-e77c-4c5d-948c-6243d2c052a1,PC01,2025-02-01,monthly,85,"[""Completed 8 infrastructure projects"", ""Resolved 208 grievances"", ""Conducted 22 public meetings""]","[""Water supply disruption in Ward 1"", ""Road repair pending for 62 days""]","[""High youth engagement opportunity"", ""Strong community support for education initiative""]","[""Schedule visit to high-risk ward"", ""Address water supply issue urgently""]","[""Opposition activity increasing in Ward 5""]",positive,76,ai_system,admin,2025-02-01 09:00:00,2025-02-01 18:00:00
fa61cec1-9dd4-4d87-905b-2189bc3a5a9c,PC01,2025-03-01,monthly,89,"[""Completed 7 infrastructure projects"", ""Resolved 270 grievances"", ""Conducted 23 public meetings""]","[""Water supply disruption in Ward 3"", ""Road repair pending for 74 days""]","[""High youth engagement opportunity"", ""Strong community support for education initiative""]","[""Schedule visit to high-risk ward"", ""Address water supply issue urgently""]","[""Opposition activity increasing in Ward 2""]",cautiously_positive,78,ai_system,admin,2025-03-01 09:00:00,2025-03-01 18:00:00
f3c420c6-3af3-4152-bad1-157f9008aa39,PC01,2025-04-01,monthly,72,"[""Completed 6 infrastructure projects"", ""Resolved 154 grievances"", ""Conducted 30 public meetings""]","[""Water supply disruption in Ward 3"", ""Road repair pending for 63 days""]","[""High youth engagement opportunity"", ""Strong community support for education initiative""]","[""Schedule visit to high-risk ward"", ""Address water supply issue urgently""]","[""Opposition activity increasing in Ward 5""]",positive,82,ai_system,admin,2025-04-01 09:00:00,2025-04-01 18:00:00
4fa373f1-2f4f-49d6-9865-fe13b34a1655,PC01,2025-05-01,monthly,87,"[""Completed 7 infrastructure projects"", ""Resolved 134 grievances"", ""Conducted 17 public meetings""]","[""Water supply disruption in Ward 3"", ""Road repair pending for 53 days""]","[""High youth engagement opportunity"", ""Strong community support for education initiative""]","[""Schedule visit to high-risk ward"", ""Address water supply issue urgently""]","[""Opposition activity increasing in Ward 4""]",positive,61,ai_system,admin,2025-05-01 09:00:00,2025-05-01 18:00:00
3432c7a0-4d0d-4238-a716-0f09e5f6016a,PC01,2025-06-01,monthly,87,"[""Completed 3 infrastructure projects"", ""Resolved 193 grievances"", ""Conducted 29 public meetings""]","[""Water supply disruption in Ward 2"", ""Road repair pending for 79 days""]","[""High youth engagement opportunity"", ""Strong community support for education initiative""]","[""Schedule visit to high-risk ward"", ""Address water supply issue urgently""]","[""Opposition activity increasing in Ward 2""]",neutral,82,ai_system,admin,2025-06-01 09:00:00,2025-06-01 18:00:00
a8038032-fcfc-4409-ba95-785f7039c843,PC01,2025-07-01,monthly,89,"[""Completed 7 infrastructure projects"", ""Resolved 130 grievances"", ""Conducted 25 public meetings""]","[""Water supply disruption in Ward 3"", ""Road repair pending for 46 days""]","[""High youth engagement opportunity"", ""Strong community support for education initiative""]","[""Schedule visit to high-risk ward"", ""Address water supply issue urgently""]","[""Opposition activity increasing in Ward 4""]",neutral,67,ai_system,admin,2025-07-01 09:00:00,2025-07-01 18:00:00
813a4e6b-5efa-42cb-b359-ebdd209eb7e0,PC01,2025-08-01,monthly,77,"[""Completed 3 infrastructure projects"", ""Resolved 109 grievances"", ""Conducted 22 public meetings""]","[""Water supply disruption in Ward 1"", ""Road repair pending for 89 days""]","[""High youth engagement opportunity"", ""Strong community support for education initiative""]","[""Schedule visit to high-risk ward"", ""Address water supply issue urgently""]","[""Opposition activity increasing in Ward 5""]",positive,71,ai_system,admin,2025-08-01 09:00:00,2025-08-01 18:00:00
20ca9231-058f-4149-a5c7-cac0675f764f,PC01,2025-09-01,monthly,89,"[""Completed 6 infrastructure projects"", ""Resolved 256 grievances"", ""Conducted 15 public meetings""]","[""Water supply disruption in Ward 3"", ""Road repair pending for 87 days""]","[""High youth engagement opportunity"", ""Strong community support for education initiative""]","[""Schedule visit to high-risk ward"", ""Address water supply issue urgently""]","[""Opposition activity increasing in Ward 5""]",cautiously_positive,83,ai_system,admin,2025-09-01 09:00:00,2025-09-01 18:00:00
f1dc0bfd-d324-436e-939f-ab019bbfd5e2,PC01,2025-10-01,monthly,77,"[""Completed 6 infrastructure projects"", ""Resolved 206 grievances"", ""Conducted 29 public meetings""]","[""Water supply disruption in Ward 2"", ""Road repair pending for 83 days""]","[""High youth engagement opportunity"", ""Strong community support for education initiative""]","[""Schedule visit to high-risk ward"", ""Address water supply issue urgently""]","[""Opposition activity increasing in Ward 4""]",cautiously_positive,77,ai_system,admin,2025-10-01 09:00:00,2025-10-01 18:00:00
b7195988-ed7a-491c-9b5b-3f4509b88016,PC01,2025-11-01,monthly,77,"[""Completed 3 infrastructure projects"", ""Resolved 209 grievances"", ""Conducted 28 public meetings""]","[""Water supply disruption in Ward 3"", ""Road repair pending for 83 days""]","[""High youth engagement opportunity"", ""Strong community support for education initiative""]","[""Schedule visit to high-risk ward"", ""Address water supply issue urgently""]","[""Opposition activity increasing in Ward 5""]",positive,84,ai_system,admin,2025-11-01 09:00:00,2025-11-01 18:00:00
38b5d330-1c12-48e6-8786-22de854af2ee,PC01,2025-12-01,monthly,81,"[""Completed 3 infrastructure projects"", ""Resolved 106 grievances"", ""Conducted 15 public meetings""]","[""Water supply disruption in Ward 2"", ""Road repair pending for 84 days""]","[""High youth engagement opportunity"", ""Strong community support for education initiative""]","[""Schedule visit to high-risk ward"", ""Address water supply issue urgently""]","[""Opposition activity increasing in Ward 2""]",cautiously_positive,65,ai_system,admin,2025-12-01 09:00:00,2025-12-01 18:00:00
ed67fd7f-b1bc-4648-a85d-fb3b94fcdfd2,PC02,2025-01-01,monthly,72,"[""Completed 8 infrastructure projects"", ""Resolved 210 grievances"", ""Conducted 29 public meetings""]","[""Water supply disruption in Ward 2"", ""Road repair pending for 61 days""]","[""High youth engagement opportunity"", ""Strong community support for education initiative""]","[""Schedule visit to high-risk ward"", ""Address water supply issue urgently""]","[""Opposition activity increasing in Ward 2""]",cautiously_positive,75,ai_system,admin,2025-01-01 09:00:00,2025-01-01 18:00:00
