plan_id,constituency_id,plan_name,plan_date,plan_type,status,priority,locations,route_optimization,objectives,target_demographics,key_messages,resource_requirements,risk_assessment,ai_suggestions,created_by,approved_by,created_at,updated_at,actual_completion_notes
4d8c521a-821f-4031-8903-ece1327cbec5,PC01,Visit Plan - March 2025,2025-03-24,routine,cancelled,medium,"[{""ward"": ""Adilabad"", ""village"": ""Village_3"", ""visit_type"": ""community_event"", ""start_time"": ""2025-03-24T14:00:00"", ""end_time"": ""2025-03-24T15:00:00"", ""expected_attendance"": 990, ""key_people"": [""Person_17"", ""Person_9""]}, {""ward"": ""Asifabad"", ""village"": ""Village_10"", ""visit_type"": ""inspection"", ""start_time"": ""2025-03-24T11:00:00"", ""end_time"": ""2025-03-24T14:00:00"", ""expected_attendance"": 1863, ""key_people"": [""Person_11"", ""Person_18""]}]","{""total_distance_km"": 134.1, ""estimated_travel_time_mins"": 462, ""optimized_sequence"": [""Adilabad"", ""Asifabad""], ""fuel_cost_estimate"": 6774.52}","[""Meet key stakeholders"", ""Address public grievances"", ""Inspect ongoing projects""]","[""youth"", ""women""]","[""Development progress update"", ""New schemes announcement"", ""Community welfare focus""]","{""vehicles"": 5, ""security_personnel"": 7, ""volunteers"": 34, ""budget"": 153699.91}","{""weather_risk"": ""low"", ""security_risk"": ""medium"", ""crowd_management_risk"": ""low"", ""mitigation_steps"": [""Backup plan ready"", ""Security briefed"", ""Weather monitoring""]}","[""Optimal time: Morning hours for better attendance"", ""Route optimized for minimal travel time"", ""Key influencers invited""]",planner_1,,2025-03-11 10:00:00,2025-03-20 15:00:00,
ca7d09eb-ab23-4234-beb6-6a0c386763be,PC01,Visit Plan - April 2025,2025-04-24,crisis_response,draft,high,"[{""ward"": ""Boath"", ""village"": ""Village_10"", ""visit_type"": ""community_event"", ""start_time"": ""2025-04-24T14:00:00"", ""end_time"": ""2025-04-24T17:00:00"", ""expected_attendance"": 1235, ""key_people"": [""Person_5"", ""Person_6"", ""Person_16"", ""Person_15"", ""Person_10""]}, {""ward"": ""Khanapur"", ""village"": ""Village_3"", ""visit_type"": ""inspection"", ""start_time"": ""2025-04-24T09:00:00"", ""end_time"": ""2025-04-24T12:00:00"", ""expected_attendance"": 608, ""key_people"": [""Person_1"", ""Person_8"", ""Person_1"", ""Person_4""]}]","{""total_distance_km"": 69.25, ""estimated_travel_time_mins"": 400, ""optimized_sequence"": [""Boath"", ""Khanapur""], ""fuel_cost_estimate"": 2760.53}","[""Meet key stakeholders"", ""Address public grievances"", ""Inspect ongoing projects""]","[""youth""]","[""Development progress update"", ""New schemes announcement"", ""Community welfare focus""]","{""vehicles"": 2, ""security_personnel"": 8, ""volunteers"": 43, ""budget"": 127205.33}","{""weather_risk"": ""low"", ""security_risk"": ""medium"", ""crowd_management_risk"": ""medium"", ""mitigation_steps"": [""Backup plan ready"", ""Security briefed"", ""Weather monitoring""]}","[""Optimal time: Morning hours for better attendance"", ""Route optimized for minimal travel time"", ""Key influencers invited""]",planner_3,,2025-03-27 10:00:00,2025-04-21 15:00:00,
8974a8c3-6f87-45b8-ba89-7fee785fda76,PC01,Visit Plan - January 2025,2025-01-13,campaign,in_progress,critical,"[{""ward"": ""Asifabad"", ""village"": ""Village_5"", ""visit_type"": ""public_meeting"", ""start_time"": ""2025-01-13T13:00:00"", ""end_time"": ""2025-01-13T16:00:00"", ""expected_attendance"": 855, ""key_people"": [""Person_5"", ""Person_5"", ""Person_5"", ""Person_8"", ""Person_5""]}, {""ward"": ""Boath"", ""village"": ""Village_9"", ""visit_type"": ""community_event"", ""start_time"": ""2025-01-13T11:00:00"", ""end_time"": ""2025-01-13T13:00:00"", ""expected_attendance"": 1643, ""key_people"": [""Person_4"", ""Person_15"", ""Person_9"", ""Person_6"", ""Person_14""]}, {""ward"": ""Khanapur"", ""village"": ""Village_6"", ""visit_type"": ""public_meeting"", ""start_time"": ""2025-01-13T12:00:00"", ""end_time"": ""2025-01-13T15:00:00"", ""expected_attendance"": 350, ""key_people"": [""Person_12"", ""Person_16"", ""Person_4"", ""Person_9"", ""Person_7""]}]","{""total_distance_km"": 98.37, ""estimated_travel_time_mins"": 291, ""optimized_sequence"": [""Asifabad"", ""Boath"", ""Khanapur""], ""fuel_cost_estimate"": 3401.15}","[""Meet key stakeholders"", ""Address public grievances"", ""Inspect ongoing projects""]","[""youth""]","[""Development progress update"", ""New schemes announcement"", ""Community welfare focus""]","{""vehicles"": 5, ""security_personnel"": 14, ""volunteers"": 25, ""budget"": 157185.67}","{""weather_risk"": ""medium"", ""security_risk"": ""low"", ""crowd_management_risk"": ""low"", ""mitigation_steps"": [""Backup plan ready"", ""Security briefed"", ""Weather monitoring""]}","[""Optimal time: Morning hours for better attendance"", ""Route optimized for minimal travel time"", ""Key influencers invited""]",planner_3,admin_1,2024-12-31 10:00:00,2025-01-11 15:00:00,
aeca8d9e-b347-4f78-9311-9bf2b03302fd,PC01,Visit Plan - November 2025,2025-11-16,campaign,cancelled,low,"[{""ward"": ""Mancherial"", ""village"": ""Village_5"", ""visit_type"": ""inspection"", ""start_time"": ""2025-11-16T15:00:00"", ""end_time"": ""2025-11-16T16:00:00"", ""expected_attendance"": 734, ""key_people"": [""Person_13"", ""Person_20"", ""Person_3"", ""Person_17""]}, {""ward"": ""Asifabad"", ""village"": ""Village_2"", ""visit_type"": ""community_event"", ""start_time"": ""2025-11-16T13:00:00"", ""end_time"": ""2025-11-16T16:00:00"", ""expected_attendance"": 1417, ""key_people"": [""Person_18"", ""Person_9"", ""Person_11""]}, {""ward"": ""Nirmal"", ""village"": ""Village_9"", ""visit_type"": ""public_meeting"", ""start_time"": ""2025-11-16T15:00:00"", ""end_time"": ""2025-11-16T17:00:00"", ""expected_attendance"": 1892, ""key_people"": [""Person_15"", ""Person_18""]}, {""ward"": ""Boath"", ""village"": ""Village_10"", ""visit_type"": ""community_event"", ""start_time"": ""2025-11-16T15:00:00"", ""end_time"": ""2025-11-16T16:00:00"", ""expected_attendance"": 1700, ""key_people"": [""Person_1"", ""Person_11"", ""Person_9"", ""Person_4""]}]","{""total_distance_km"": 143.15, ""estimated_travel_time_mins"": 271, ""optimized_sequence"": [""Mancherial"", ""Asifabad"", ""Nirmal"", ""Boath""], ""fuel_cost_estimate"": 4680.74}","[""Meet key stakeholders"", ""Address public grievances"", ""Inspect ongoing projects""]","[""youth""]","[""Development progress update"", ""New schemes announcement"", ""Community welfare focus""]","{""vehicles"": 2, ""security_personnel"": 5, ""volunteers"": 32, ""budget"": 171494.73}","{""weather_risk"": ""medium"", ""security_risk"": ""medium"", ""crowd_management_risk"": ""medium"", ""mitigation_steps"": [""Backup plan ready"", ""Security briefed"", ""Weather monitoring""]}","[""Optimal time: Morning hours for better attendance"", ""Route optimized for minimal travel time"", ""Key influencers invited""]",planner_3,,2025-10-30 10:00:00,2025-11-09 15:00:00,
1a77c0c6-0e77-433e-9688-1dc60e580f0d,PC01,Visit Plan - December 2025,2025-12-04,crisis_response,scheduled,high,"[{""ward"": ""Khanapur"", ""village"": ""Village_3"", ""visit_type"": ""public_meeting"", ""start_time"": ""2025-12-04T12:00:00"", ""end_time"": ""2025-12-04T13:00:00"", ""expected_attendance"": 1552, ""key_people"": [""Person_17"", ""Person_8"", ""Person_7"", ""Person_6""]}, {""ward"": ""Boath"", ""village"": ""Village_7"", ""visit_type"": ""public_meeting"", ""start_time"": ""2025-12-04T10:00:00"", ""end_time"": ""2025-12-04T12:00:00"", ""expected_attendance"": 813, ""key_people"": [""Person_15"", ""Person_2""]}, {""ward"": ""Asifabad"", ""village"": ""Village_3"", ""visit_type"": ""community_event"", ""start_time"": ""2025-12-04T13:00:00"", ""end_time"": ""2025-12-04T14:00:00"", ""expected_attendance"": 338, ""key_people"": [""Person_3"", ""Person_15"", ""Person_8"", ""Person_13""]}]","{""total_distance_km"": 157.32, ""estimated_travel_time_mins"": 230, ""optimized_sequence"": [""Khanapur"", ""Boath"", ""Asifabad""], ""fuel_cost_estimate"": 5930.93}","[""Meet key stakeholders"", ""Address public grievances"", ""Inspect ongoing projects""]","[""youth"", ""women""]","[""Development progress update"", ""New schemes announcement"", ""Community welfare focus""]","{""vehicles"": 5, ""security_personnel"": 9, ""volunteers"": 42, ""budget"": 116253.16}","{""weather_risk"": ""high"", ""security_risk"": ""low"", ""crowd_management_risk"": ""medium"", ""mitigation_steps"": [""Backup plan ready"", ""Security briefed"", ""Weather monitoring""]}","[""Optimal time: Morning hours for better attendance"", ""Route optimized for minimal travel time"", ""Key influencers invited""]",planner_1,admin_1,2025-11-09 10:00:00,2025-12-02 15:00:00,
0a04bd1c-2a54-423e-b0e1-8e9c469d2bb6,PC01,Visit Plan - December 2025,2025-12-25,crisis_response,scheduled,medium,"[{""ward"": ""Khanapur"", ""village"": ""Village_4"", ""visit_type"": ""public_meeting"", ""start_time"": ""2025-12-25T14:00:00"", ""end_time"": ""2025-12-25T16:00:00"", ""expected_attendance"": 1604, ""key_people"": [""Person_11"", ""Person_13"", ""Person_12""]}, {""ward"": ""Asifabad"", ""village"": ""Village_3"", ""visit_type"": ""inspection"", ""start_time"": ""2025-12-25T11:00:00"", ""end_time"": ""2025-12-25T13:00:00"", ""expected_attendance"": 563, ""key_people"": [""Person_2"", ""Person_5"", ""Person_1"", ""Person_19"", ""Person_12""]}, {""ward"": ""Boath"", ""village"": ""Village_7"", ""visit_type"": ""public_meeting"", ""start_time"": ""2025-12-25T16:00:00"", ""end_time"": ""2025-12-25T19:00:00"", ""expected_attendance"": 934, ""key_people"": [""Person_4"", ""Person_4"", ""Person_15"", ""Person_13""]}]","{""total_distance_km"": 152.53, ""estimated_travel_time_mins"": 464, ""optimized_sequence"": [""Khanapur"", ""Asifabad"", ""Boath""], ""fuel_cost_estimate"": 2133.17}","[""Meet key stakeholders"", ""Address public grievances"", ""Inspect ongoing projects""]","[""youth"", ""women"", ""farmers""]","[""Development progress update"", ""New schemes announcement"", ""Community welfare focus""]","{""vehicles"": 5, ""security_personnel"": 12, ""volunteers"": 41, ""budget"": 176697.21}","{""weather_risk"": ""low"", ""security_risk"": ""low"", ""crowd_management_risk"": ""medium"", ""mitigation_steps"": [""Backup plan ready"", ""Security briefed"", ""Weather monitoring""]}","[""Optimal time: Morning hours for better attendance"", ""Route optimized for minimal travel time"", ""Key influencers invited""]",planner_4,admin_2,2025-12-08 10:00:00,2025-12-23 15:00:00,
c0127e0f-80d9-4715-ab42-25e29754bfb2,PC01,Visit Plan - February 2025,2025-02-01,routine,completed,medium,"[{""ward"": ""Asifabad"", ""village"": ""Village_6"", ""visit_type"": ""inspection"", ""start_time"": ""2025-02-01T11:00:00"", ""end_time"": ""2025-02-01T13:00:00"", ""expected_attendance"": 261, ""key_people"": [""Person_13"", ""Person_15"", ""Person_9"", ""Person_2""]}, {""ward"": ""Asifabad"", ""village"": ""Village_7"", ""visit_type"": ""community_event"", ""start_time"": ""2025-02-01T13:00:00"", ""end_time"": ""2025-02-01T14:00:00"", ""expected_attendance"": 718, ""key_people"": [""Person_8"", ""Person_15"", ""Person_4"", ""Person_2"", ""Person_19""]}, {""ward"": ""Adilabad"", ""village"": ""Village_2"", ""visit_type"": ""inspection"", ""start_time"": ""2025-02-01T14:00:00"", ""end_time"": ""2025-02-01T16:00:00"", ""expected_attendance"": 1212, ""key_people"": [""Person_10"", ""Person_1"", ""Person_18"", ""Person_3""]}, {""ward"": ""Asifabad"", ""village"": ""Village_3"", ""visit_type"": ""inspection"", ""start_time"": ""2025-02-01T12:00:00"", ""end_time"": ""2025-02-01T13:00:00"", ""expected_attendance"": 421, ""key_people"": [""Person_12"", ""Person_2""]}]","{""total_distance_km"": 58.53, ""estimated_travel_time_mins"": 199, ""optimized_sequence"": [""Asifabad"", ""Asifabad"", ""Adilabad"", ""Asifabad""], ""fuel_cost_estimate"": 4035.0}","[""Meet key stakeholders"", ""Address public grievances"", ""Inspect ongoing projects""]","[""youth"", ""women"", ""farmers""]","[""Development progress update"", ""New schemes announcement"", ""Community welfare focus""]","{""vehicles"": 4, ""security_personnel"": 12, ""volunteers"": 14, ""budget"": 185049.51}","{""weather_risk"": ""high"", ""security_risk"": ""medium"", ""crowd_management_risk"": ""medium"", ""mitigation_steps"": [""Backup plan ready"", ""Security briefed"", ""Weather monitoring""]}","[""Optimal time: Morning hours for better attendance"", ""Route optimized for minimal travel time"", ""Key influencers invited""]",planner_4,admin_1,2025-01-11 10:00:00,2025-01-26 15:00:00,Successfully completed with 80% attendance
7a312246-e852-4fae-87b7-edd46074a855,PC01,Visit Plan - November 2025,2025-11-12,crisis_response,scheduled,low,"[{""ward"": ""Nirmal"", ""village"": ""Village_3"", ""visit_type"": ""inspection"", ""start_time"": ""2025-11-12T09:00:00"", ""end_time"": ""2025-11-12T10:00:00"", ""expected_attendance"": 303, ""key_people"": [""Person_8"", ""Person_3"", ""Person_20""]}, {""ward"": ""Adilabad"", ""village"": ""Village_2"", ""visit_type"": ""inspection"", ""start_time"": ""2025-11-12T15:00:00"", ""end_time"": ""2025-11-12T17:00:00"", ""expected_attendance"": 1143, ""key_people"": [""Person_7"", ""Person_7"", ""Person_17"", ""Person_17""]}, {""ward"": ""Boath"", ""village"": ""Village_4"", ""visit_type"": ""inspection"", ""start_time"": ""2025-11-12T15:00:00"", ""end_time"": ""2025-11-12T18:00:00"", ""expected_attendance"": 852, ""key_people"": [""Person_19"", ""Person_14""]}, {""ward"": ""Chennur"", ""village"": ""Village_6"", ""visit_type"": ""inspection"", ""start_time"": ""2025-11-12T14:00:00"", ""end_time"": ""2025-11-12T15:00:00"", ""expected_attendance"": 1981, ""key_people"": [""Person_10"", ""Person_4"", ""Person_20""]}]","{""total_distance_km"": 188.24, ""estimated_travel_time_mins"": 473, ""optimized_sequence"": [""Nirmal"", ""Adilabad"", ""Boath"", ""Chennur""], ""fuel_cost_estimate"": 7688.61}","[""Meet key stakeholders"", ""Address public grievances"", ""Inspect ongoing projects""]","[""youth"", ""women"", ""farmers""]","[""Development progress update"", ""New schemes announcement"", ""Community welfare focus""]","{""vehicles"": 4, ""security_personnel"": 12, ""volunteers"": 38, ""budget"": 145607.09}","{""weather_risk"": ""medium"", ""security_risk"": ""medium"", ""crowd_management_risk"": ""high"", ""mitigation_steps"": [""Backup plan ready"", ""Security briefed"", ""Weather monitoring""]}","[""Optimal time: Morning hours for better attendance"", ""Route optimized for minimal travel time"", ""Key influencers invited""]",planner_5,admin_3,2025-10-26 10:00:00,2025-11-11 15:00:00,
4440c2a9-c215-4260-96a5-826b7d6bdf6d,PC01,Visit Plan - July 2025,2025-07-31,routine,completed,medium,"[{""ward"": ""Asifabad"", ""village"": ""Village_2"", ""visit_type"": ""public_meeting"", ""start_time"": ""2025-07-31T11:00:00"", ""end_time"": ""2025-07-31T14:00:00"", ""expected_attendance"": 1419, ""key_people"": [""Person_17"", ""Person_6"", ""Person_1"", ""Person_7""]}, {""ward"": ""Adilabad"", ""village"": ""Village_8"", ""visit_type"": ""community_event"", ""start_time"": ""2025-07-31T14:00:00"", ""end_time"": ""2025-07-31T16:00:00"", ""expected_attendance"": 1760, ""key_people"": [""Person_8"", ""Person_16"", ""Person_15"", ""Person_14"", ""Person_10""]}, {""ward"": ""Mancherial"", ""village"": ""Village_4"", ""visit_type"": ""inspection"", ""start_time"": ""2025-07-31T09:00:00"", ""end_time"": ""2025-07-31T10:00:00"", ""expected_attendance"": 528, ""key_people"": [""Person_10"", ""Person_15""]}]","{""total_distance_km"": 64.06, ""estimated_travel_time_mins"": 365, ""optimized_sequence"": [""Asifabad"", ""Adilabad"", ""Mancherial""], ""fuel_cost_estimate"": 3054.11}","[""Meet key stakeholders"", ""Address public grievances"", ""Inspect ongoing projects""]","[""youth""]","[""Development progress update"", ""New schemes announcement"", ""Community welfare focus""]","{""vehicles"": 5, ""security_personnel"": 5, ""volunteers"": 38, ""budget"": 103772.69}","{""weather_risk"": ""medium"", ""security_risk"": ""medium"", ""crowd_management_risk"": ""high"", ""mitigation_steps"": [""Backup plan ready"", ""Security briefed"", ""Weather monitoring""]}","[""Optimal time: Morning hours for better attendance"", ""Route optimized for minimal travel time"", ""Key influencers invited""]",planner_1,admin_3,2025-07-12 10:00:00,2025-07-27 15:00:00,Successfully completed with 93% attendance
5182f2d8-b9df-408a-bc30-70e1769d9bca,PC01,Visit Plan - September 2025,2025-09-08,routine,scheduled,high,"[{""ward"": ""Nirmal"", ""village"": ""Village_4"", ""visit_type"": ""public_meeting"", ""start_time"": ""2025-09-08T12:00:00"", ""end_time"": ""2025-09-08T15:00:00"", ""expected_attendance"": 905, ""key_people"": [""Person_20"", ""Person_7"", ""Person_18"", ""Person_20"", ""Person_16""]}, {""ward"": ""Asifabad"", ""village"": ""Village_5"", ""visit_type"": ""community_event"", ""start_time"": ""2025-09-08T12:00:00"", ""end_time"": ""2025-09-08T15:00:00"", ""expected_attendance"": 755, ""key_people"": [""Person_3"", ""Person_4"", ""Person_4""]}, {""ward"": ""Nirmal"", ""village"": ""Village_1"", ""visit_type"": ""public_meeting"", ""start_time"": ""2025-09-08T15:00:00"", ""end_time"": ""2025-09-08T18:00:00"", ""expected_attendance"": 1122, ""key_people"": [""Person_9"", ""Person_14"", ""Person_10"", ""Person_20"", ""Person_11""]}]","{""total_distance_km"": 84.63, ""estimated_travel_time_mins"": 375, ""optimized_sequence"": [""Nirmal"", ""Asifabad"", ""Nirmal""], ""fuel_cost_estimate"": 3923.84}","[""Meet key stakeholders"", ""Address public grievances"", ""Inspect ongoing projects""]","[""youth""]","[""Development progress update"", ""New schemes announcement"", ""Community welfare focus""]","{""vehicles"": 4, ""security_personnel"": 5, ""volunteers"": 22, ""budget"": 96766.68}","{""weather_risk"": ""high"", ""security_risk"": ""low"", ""crowd_management_risk"": ""high"", ""mitigation_steps"": [""Backup plan ready"", ""Security briefed"", ""Weather monitoring""]}","[""Optimal time: Morning hours for better attendance"", ""Route optimized for minimal travel time"", ""Key influencers invited""]",planner_5,admin_3,2025-08-21 10:00:00,2025-09-04 15:00:00,
