visit_id,constituency_id,visit_date,visit_time,location_ward,visit_type,visit_category,leader_name,leader_role,total_attendance,grievances_count,grievances_resolved_on_spot,public_sentiment,sentiment_score,photos_count,videos_count,media_coverage,recorded_by,verification_status,created_at,updated_at
7c3c183c-3faf-4300-bdbb-703d732632d2,PC01,2025-02-03,08:00:00,Asifabad,public_meeting,emergency,MP Adilabad,Minister,1403,49,2,positive,0.26,40,3,yes,volunteer_18,verified,2025-02-03 20:00:00,2025-02-03 22:00:00
537b0888-33ba-4f58-9c45-53c51a4734a8,PC01,2025-01-08,16:15:00,Khanapur,public_meeting,emergency,MP Adilabad,MP,773,10,20,very_positive,0.44,36,4,no,volunteer_12,pending,2025-01-08 20:00:00,2025-01-08 22:00:00
e92a3e00-e165-4e1a-95d8-f61deac20ef5,PC01,2025-06-26,09:00:00,Boath,public_meeting,emergency,MP Adilabad,MLA,1163,36,19,very_positive,0.69,49,0,yes,volunteer_19,pending,2025-06-26 20:00:00,2025-06-26 22:00:00
8b7db5cf-2cf2-47da-928a-96f467eee6ae,PC01,2025-06-07,13:30:00,Mancherial,inspection,scheduled,MP Adilabad,MLA,1267,50,13,neutral,0.32,19,5,no,volunteer_20,pending,2025-06-07 20:00:00,2025-06-07 22:00:00
a8e1c3c8-650f-4f10-9ae0-d53bd1208da5,PC01,2025-09-11,12:15:00,Khanapur,office_hours,emergency,MP Adilabad,MLA,88,11,20,negative,-0.03,31,4,yes,volunteer_9,pending,2025-09-11 20:00:00,2025-09-11 22:00:00
f6363b85-afbd-4999-9ea2-725425adb2e9,PC01,2025-01-17,13:45:00,Mancherial,house_visit,emergency,MP Adilabad,MP,865,46,11,very_negative,-0.14,7,0,yes,volunteer_5,verified,2025-01-17 20:00:00,2025-01-17 22:00:00
66fd2432-f177-4191-8886-f5b4c6314c1f,PC01,2025-07-22,16:15:00,Khanapur,event,scheduled,MP Adilabad,MP,346,45,6,neutral,0.68,5,1,no,volunteer_4,pending,2025-07-22 20:00:00,2025-07-22 22:00:00
dfcaca83-e836-43e3-acf4-19e662063fad,PC01,2025-10-18,12:30:00,Boath,house_visit,emergency,MP Adilabad,Minister,1906,9,2,very_positive,0.4,7,5,yes,volunteer_15,verified,2025-10-18 20:00:00,2025-10-18 22:00:00
3416a181-9b67-4865-b95d-cab309cbefe3,PC01,2025-04-25,09:30:00,Adilabad,inspection,emergency,MP Adilabad,Minister,1805,17,8,neutral,0.8,46,4,no,volunteer_12,verified,2025-04-25 20:00:00,2025-04-25 22:00:00
62034703-ddcd-4b7b-bd6a-03b6b0992836,PC01,2025-01-23,08:45:00,Adilabad,event,scheduled,MP Adilabad,MLA,1954,45,6,neutral,0.88,48,3,yes,volunteer_7,verified,2025-01-23 20:00:00,2025-01-23 22:00:00
56bbd667-efe4-4575-887a-aa9af4474cb9,PC01,2025-03-10,15:45:00,Asifabad,inspection,impromptu,MP Adilabad,MLA,1594,45,10,positive,0.42,35,1,no,volunteer_8,pending,2025-03-10 20:00:00,2025-03-10 22:00:00
ef2afd01-48a9-4a25-b8a8-61639fda25a4,PC01,2025-12-17,12:00:00,Nirmal,house_visit,emergency,MP Adilabad,MLA,382,46,11,very_positive,0.18,30,3,yes,volunteer_9,pending,2025-12-17 20:00:00,2025-12-17 22:00:00
e16a35cf-9288-4687-8c9d-be0339b3f605,PC01,2025-10-12,08:30:00,Boath,public_meeting,emergency,MP Adilabad,MP,270,14,5,positive,0.7,46,1,no,volunteer_3,verified,2025-10-12 20:00:00,2025-10-12 22:00:00
87476653-122d-47e1-96c7-d2cb1f5c2979,PC01,2025-11-18,13:30:00,Boath,office_hours,impromptu,MP Adilabad,MLA,371,38,5,negative,0.47,23,0,yes,volunteer_20,verified,2025-11-18 20:00:00,2025-11-18 22:00:00
9aa01334-3c41-4c1b-9e97-c09155f2bbf3,PC01,2025-11-18,15:00:00,Adilabad,event,scheduled,MP Adilabad,MP,1235,9,10,very_positive,-0.17,7,3,yes,volunteer_20,pending,2025-11-18 20:00:00,2025-11-18 22:00:00
41de3b28-ec67-4f57-9909-5f9a98b5f29c,PC01,2025-03-07,10:30:00,Nirmal,house_visit,emergency,MP Adilabad,MP,825,31,6,very_negative,-0.06,23,0,yes,volunteer_16,verified,2025-03-07 20:00:00,2025-03-07 22:00:00
c26dcd13-7c51-4908-983a-26b0861ff7b3,PC01,2025-03-27,15:15:00,Nirmal,public_meeting,impromptu,MP Adilabad,Minister,1622,6,11,positive,0.01,13,1,no,volunteer_3,verified,2025-03-27 20:00:00,2025-03-27 22:00:00
3affb13b-a71c-4754-9927-5e608f508411,PC01,2025-08-29,11:00:00,Boath,inspection,scheduled,MP Adilabad,MLA,1376,8,15,very_negative,0.61,8,5,no,volunteer_20,verified,2025-08-29 20:00:00,2025-08-29 22:00:00
39816924-dd9b-4085-b8fc-a58325e82a01,PC01,2025-03-09,16:30:00,Mancherial,office_hours,emergency,MP Adilabad,Minister,1529,14,16,negative,0.37,12,0,yes,volunteer_4,pending,2025-03-09 20:00:00,2025-03-09 22:00:00
8a9c92e8-52f7-4e68-a8af-17595aadab80,PC01,2025-01-14,11:45:00,Mancherial,event,emergency,MP Adilabad,Minister,887,18,16,negative,-0.06,34,5,yes,volunteer_8,pending,2025-01-14 20:00:00,2025-01-14 22:00:00
32f806d5-a63e-49f9-852d-edbec926cc2e,PC01,2025-05-20,15:45:00,Nirmal,event,emergency,MP Adilabad,MLA,1043,36,2,neutral,-0.06,37,3,yes,volunteer_18,verified,2025-05-20 20:00:00,2025-05-20 22:00:00
312c31c2-1942-4be2-a2ae-5283ba614056,PC01,2025-11-13,18:30:00,Chennur,event,emergency,MP Adilabad,MP,963,39,14,positive,-0.24,36,2,no,volunteer_19,verified,2025-11-13 20:00:00,2025-11-13 22:00:00
2f0a6139-b822-4a8f-bc7b-e953663d8490,PC01,2025-05-06,12:00:00,Nirmal,event,emergency,MP Adilabad,MLA,1582,48,12,negative,0.89,10,5,no,volunteer_16,pending,2025-05-06 20:00:00,2025-05-06 22:00:00
f852a4a0-34e3-40bd-b08b-896b3bdf0417,PC01,2025-02-25,18:30:00,Adilabad,office_hours,scheduled,MP Adilabad,Minister,372,10,2,very_positive,-0.07,39,1,yes,volunteer_14,verified,2025-02-25 20:00:00,2025-02-25 22:00:00
0f021173-a058-43da-85d7-b8fd7f2fa7e7,PC01,2025-05-23,16:00:00,Boath,house_visit,emergency,MP Adilabad,MLA,1661,29,6,positive,-0.27,26,4,yes,volunteer_1,verified,2025-05-23 20:00:00,2025-05-23 22:00:00
c52a1fbe-d63e-49fb-b608-34ff44f79059,PC01,2025-03-24,09:00:00,Adilabad,office_hours,scheduled,MP Adilabad,Minister,1136,43,6,neutral,0.76,42,2,yes,volunteer_15,verified,2025-03-24 20:00:00,2025-03-24 22:00:00
3ede0e0f-3d9e-447c-8f7e-4a127d2a1728,PC01,2025-06-01,10:15:00,Khanapur,inspection,scheduled,MP Adilabad,MLA,1631,36,13,neutral,0.36,37,3,no,volunteer_8,verified,2025-06-01 20:00:00,2025-06-01 22:00:00
b7ab7df3-1607-4d66-a04f-97d28f374550,PC01,2025-06-24,11:45:00,Nirmal,office_hours,scheduled,MP Adilabad,MLA,1439,10,13,positive,0.48,45,1,yes,volunteer_2,verified,2025-06-24 20:00:00,2025-06-24 22:00:00
3f9520b0-2f39-4c5e-b63c-ca3691a0b850,PC01,2025-04-27,09:15:00,Asifabad,house_visit,emergency,MP Adilabad,MLA,735,23,5,very_positive,-0.15,19,1,no,volunteer_9,verified,2025-04-27 20:00:00,2025-04-27 22:00:00
6981ec82-bb79-479a-bc24-f4661ff11c3f,PC01,2025-10-16,17:30:00,Chennur,event,impromptu,MP Adilabad,Minister,1543,48,20,positive,-0.12,40,3,no,volunteer_4,verified,2025-10-16 20:00:00,2025-10-16 22:00:00
b7388de6-7555-4095-8072-f796d3e06144,PC01,2025-12-23,11:30:00,Mancherial,house_visit,impromptu,MP Adilabad,Minister,850,44,4,negative,0.61,47,1,yes,volunteer_19,pending,2025-12-23 20:00:00,2025-12-23 22:00:00
dde08b7a-c143-4df8-b256-0214068a6b12,PC01,2025-06-04,08:00:00,Mancherial,event,emergency,MP Adilabad,MP,1215,35,18,very_negative,0.82,46,1,yes,volunteer_5,verified,2025-06-04 20:00:00,2025-06-04 22:00:00
fb5fdfa1-04e7-4eae-b9ba-44dd6fb45738,PC01,2025-12-29,08:45:00,Adilabad,house_visit,emergency,MP Adilabad,Minister,1801,20,11,very_positive,-0.07,38,4,yes,volunteer_2,verified,2025-12-29 20:00:00,2025-12-29 22:00:00
