booth_id,constituency_id,booth_number,booth_name,location_ward,analysis_date,total_voters,male_voters,female_voters,first_time_voters,senior_voters,booth_score,risk_level,competitive_threat_score,booth_agents,active_volunteers,booth_committee_strength,last_meeting_date,surveyed_by,verification_date,created_at,updated_at
PC01_B001,PC01,B001,Polling Station 1,Asifabad,2025-11-01,5796,3013,2782,463,695,77,secure,40,3,15,weak,2025-10-18,surveyor_6,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B002,PC01,B002,Polling Station 2,Nirmal,2025-11-01,5727,2978,2748,458,687,46,vulnerable,72,4,9,strong,2025-11-30,surveyor_3,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B003,PC01,B003,Polling Station 3,Boath,2025-11-01,5763,2996,2766,461,691,56,vulnerable,79,5,11,moderate,2025-10-14,surveyor_1,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B004,PC01,B004,Polling Station 4,Khanapur,2025-11-01,5682,2954,2727,454,681,45,vulnerable,80,2,13,weak,2025-11-05,surveyor_1,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B005,PC01,B005,Polling Station 5,Mancherial,2025-11-01,5819,3025,2793,465,698,94,secure,57,3,16,strong,2025-11-19,surveyor_2,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B006,PC01,B006,Polling Station 6,Adilabad,2025-11-01,5679,2953,2725,454,681,91,secure,67,5,14,weak,2025-10-17,surveyor_1,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B007,PC01,B007,Polling Station 7,Khanapur,2025-11-01,5803,3017,2785,464,696,93,secure,64,2,12,weak,2025-10-21,surveyor_2,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B008,PC01,B008,Polling Station 8,Adilabad,2025-11-01,5824,3028,2795,465,698,82,secure,34,4,11,strong,2025-10-12,surveyor_6,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B009,PC01,B009,Polling Station 9,Adilabad,2025-11-01,5754,2992,2761,460,690,86,secure,36,4,10,weak,2025-11-29,surveyor_7,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B010,PC01,B010,Polling Station 10,Asifabad,2025-11-01,5699,2963,2735,455,683,70,moderate,53,3,18,weak,2025-11-04,surveyor_10,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B011,PC01,B011,Polling Station 11,Chennur,2025-11-01,5751,2990,2760,460,690,70,moderate,61,3,10,strong,2025-10-07,surveyor_10,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B012,PC01,B012,Polling Station 12,Khanapur,2025-11-01,5809,3020,2788,464,697,86,secure,29,3,11,strong,2025-11-22,surveyor_3,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B013,PC01,B013,Polling Station 13,Asifabad,2025-11-01,5790,3010,2779,463,694,93,secure,22,5,12,strong,2025-10-20,surveyor_3,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B014,PC01,B014,Polling Station 14,Adilabad,2025-11-01,5850,3042,2808,468,702,56,vulnerable,49,3,15,strong,2025-10-31,surveyor_4,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B015,PC01,B015,Polling Station 15,Boath,2025-11-01,5763,2996,2766,461,691,89,secure,69,2,11,strong,2025-11-01,surveyor_10,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B016,PC01,B016,Polling Station 16,Khanapur,2025-11-01,5775,3003,2772,462,693,95,secure,56,2,12,weak,2025-11-02,surveyor_9,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
PC01_B017,PC01,B017,Polling Station 17,Boath,2025-11-01,5737,2983,2753,458,688,87,secure,50,5,10,moderate,2025-10-04,surveyor_7,2025-11-15,2025-11-01 10:00:00,2025-11-30 18:00:00
