segment_id,constituency_id,segment_name,segment_type,analysis_date,total_voters,percentage_of_total,demographics,geographic_concentration,support_level,top_issues,engagement_score,contact_coverage_pct,last_contact_date,preferred_channels,key_messengers,priority_level,target_message,recommended_actions,estimated_conversion_rate,turnout_tendency,loyalty_score,swing_potential,budget_allocated,volunteers_assigned,events_planned,created_at,updated_at
049c35c7-e840-4b40-8fb3-9d8f6bac69a7,PC01,issue_based_1_adilabad,issue_based,2025-02-01,60549,5.7,"{""age_group"": ""youth_18_35"", ""gender"": ""all"", ""occupation_category"": ""students_professionals"", ""income_level"": ""lower_middle"", ""education_level"": ""graduate"", ""religion"": ""all"", ""caste_category"": ""general""}","[{""ward"": ""Nirmal"", ""voter_count"": 4341, ""concentration_pct"": 11.29}, {""ward"": ""Adilabad"", ""voter_count"": 2234, ""concentration_pct"": 12.69}, {""ward"": ""Boath"", ""voter_count"": 2578, ""concentration_pct"": 14.65}]","{""strong_favorable"": 14338, ""leaning_favorable"": 14113, ""neutral"": 6252, ""opposition"": 13034, ""undecided"": 12812}","[{""issue"": ""healthcare"", ""priority_level"": ""low"", ""satisfaction_score"": 61}, {""issue"": ""infrastructure"", ""priority_level"": ""medium"", ""satisfaction_score"": 58}, {""issue"": ""education"", ""priority_level"": ""high"", ""satisfaction_score"": 76}]",72,30.87,2025-12-08,"[""social_media"", ""door_to_door"", ""phone""]","[""Leader_7"", ""Leader_6""]",high,"[""Message theme 4"", ""Message theme 1"", ""Message theme 3""]","[""Community events"", ""Community events""]",0.31,low,70,high,345180.71,25,12,2025-12-05 12:30:12.082786,2025-12-05 12:30:12.082789
c67e59c7-3da6-4fa0-8281-8a103966ba6f,PC01,loyalty_2_adilabad,loyalty,2025-11-01,115098,10.83,"{""age_group"": ""all"", ""gender"": ""male"", ""occupation_category"": ""agriculture"", ""income_level"": ""lower"", ""education_level"": ""primary"", ""religion"": ""all"", ""caste_category"": ""all""}","[{""ward"": ""Mancherial"", ""voter_count"": 3818, ""concentration_pct"": 17.49}, {""ward"": ""Chennur"", ""voter_count"": 4985, ""concentration_pct"": 20.48}, {""ward"": ""Boath"", ""voter_count"": 3330, ""concentration_pct"": 23.1}]","{""strong_favorable"": 38548, ""leaning_favorable"": 24632, ""neutral"": 14663, ""opposition"": 16053, ""undecided"": 21202}","[{""issue"": ""employment"", ""priority_level"": ""low"", ""satisfaction_score"": 71}, {""issue"": ""infrastructure"", ""priority_level"": ""medium"", ""satisfaction_score"": 54}, {""issue"": ""healthcare"", ""priority_level"": ""medium"", ""satisfaction_score"": 43}]",68,31.94,2025-12-18,"[""whatsapp"", ""events"", ""door_to_door""]","[""Leader_4"", ""Leader_2""]",medium,"[""Message theme 3"", ""Message theme 3"", ""Message theme 4"", ""Message theme 4""]","[""Social media outreach"", ""Phone banking""]",0.41,high,48,medium,394667.46,37,6,2025-12-05 12:30:12.082830,2025-12-05 12:30:12.082830
24fadbb2-9029-43a3-917b-5c04a5e519fa,PC01,geographic_3_adilabad,geographic,2025-04-01,208290,19.6,"{""age_group"": ""youth_18_35"", ""gender"": ""all"", ""occupation_category"": ""students_professionals"", ""income_level"": ""lower_middle"", ""education_level"": ""graduate"", ""religion"": ""all"", ""caste_category"": ""general""}","[{""ward"": ""Boath"", ""voter_count"": 4414, ""concentration_pct"": 14.0}, {""ward"": ""Nirmal"", ""voter_count"": 4866, ""concentration_pct"": 17.73}, {""ward"": ""Mancherial"", ""voter_count"": 3083, ""concentration_pct"": 27.05}]","{""strong_favorable"": 80457, ""leaning_favorable"": 47829, ""neutral"": 30903, ""opposition"": 27527, ""undecided"": 21574}","[{""issue"": ""water_supply"", ""priority_level"": ""medium"", ""satisfaction_score"": 67}, {""issue"": ""education"", ""priority_level"": ""low"", ""satisfaction_score"": 49}, {""issue"": ""education"", ""priority_level"": ""low"", ""satisfaction_score"": 55}]",49,52.51,2025-03-24,"[""social_media"", ""events"", ""door_to_door""]","[""Leader_8"", ""Leader_7"", ""Leader_3""]",high,"[""Message theme 5"", ""Message theme 5"", ""Message theme 5""]","[""Social media outreach"", ""Social media outreach""]",0.27,high,59,high,138113.05,17,5,2025-12-05 12:30:12.082864,2025-12-05 12:30:12.082864
c25a9e39-0269-40e6-90b0-f7ea1db4c0a8,PC01,issue_based_4_adilabad,issue_based,2025-06-01,108196,10.18,"{""age_group"": ""all"", ""gender"": ""male"", ""occupation_category"": ""agriculture"", ""income_level"": ""lower"", ""education_level"": ""primary"", ""religion"": ""all"", ""caste_category"": ""all""}","[{""ward"": ""Boath"", ""voter_count"": 1188, ""concentration_pct"": 27.49}, {""ward"": ""Chennur"", ""voter_count"": 3684, ""concentration_pct"": 21.41}, {""ward"": ""Nirmal"", ""voter_count"": 4184, ""concentration_pct"": 10.45}]","{""strong_favorable"": 41207, ""leaning_favorable"": 21272, ""neutral"": 18768, ""opposition"": 11119, ""undecided"": 15830}","[{""issue"": ""water_supply"", ""priority_level"": ""high"", ""satisfaction_score"": 48}, {""issue"": ""employment"", ""priority_level"": ""low"", ""satisfaction_score"": 50}, {""issue"": ""water_supply"", ""priority_level"": ""high"", ""satisfaction_score"": 80}]",45,54.68,2025-07-02,"[""door_to_door"", ""phone""]","[""Leader_2"", ""Leader_1"", ""Leader_10""]",low,"[""Message theme 2"", ""Message theme 2""]","[""Community events"", ""Phone banking""]",0.35,high,77,high,201168.05,48,8,2025-12-05 12:30:12.082895,2025-12-05 12:30:12.082895
8173c3cb-4916-4b42-b33e-4619d17e5aaf,PC01,loyalty_5_adilabad,loyalty,2025-08-01,154458,14.53,"{""age_group"": ""senior_55plus"", ""gender"": ""all"", ""occupation_category"": ""retired"", ""income_level"": ""lower"", ""education_level"": ""secondary"", ""religion"": ""all"", ""caste_category"": ""sc_st""}","[{""ward"": ""Chennur"", ""voter_count"": 3855, ""concentration_pct"": 14.47}, {""ward"": ""Mancherial"", ""voter_count"": 1910, ""concentration_pct"": 28.39}, {""ward"": ""Boath"", ""voter_count"": 1209, ""concentration_pct"": 10.63}]","{""strong_favorable"": 47190, ""leaning_favorable"": 37560, ""neutral"": 23157, ""opposition"": 22434, ""undecided"": 24117}","[{""issue"": ""infrastructure"", ""priority_level"": ""high"", ""satisfaction_score"": 84}, {""issue"": ""infrastructure"", ""priority_level"": ""high"", ""satisfaction_score"": 81}, {""issue"": ""employment"", ""priority_level"": ""medium"", ""satisfaction_score"": 75}]",68,43.59,2025-08-16,"[""social_media"", ""whatsapp"", ""door_to_door""]","[""Leader_2"", ""Leader_9"", ""Leader_4"", ""Leader_9""]",medium,"[""Message theme 2"", ""Message theme 3""]","[""Community events"", ""Phone banking"", ""Phone banking"", ""Community events""]",0.39,low,94,medium,260435.42,13,4,2025-12-05 12:30:12.082926,2025-12-05 12:30:12.082926
c84e3ba5-50b2-45a6-b723-5bb20c23fe57,PC01,demographic_6_adilabad,demographic,2025-05-01,195612,18.4,"{""age_group"": ""middle_age_36_55"", ""gender"": ""all"", ""occupation_category"": ""business_trade"", ""income_level"": ""middle"", ""education_level"": ""undergraduate"", ""religion"": ""all"", ""caste_category"": ""obc""}","[{""ward"": ""Boath"", ""voter_count"": 3321, ""concentration_pct"": 19.99}, {""ward"": ""Chennur"", ""voter_count"": 2476, ""concentration_pct"": 25.64}, {""ward"": ""Khanapur"", ""voter_count"": 3401, ""concentration_pct"": 26.5}]","{""strong_favorable"": 45989, ""leaning_favorable"": 43278, ""neutral"": 26920, ""opposition"": 34723, ""undecided"": 44702}","[{""issue"": ""infrastructure"", ""priority_level"": ""medium"", ""satisfaction_score"": 85}, {""issue"": ""employment"", ""priority_level"": ""high"", ""satisfaction_score"": 76}, {""issue"": ""water_supply"", ""priority_level"": ""high"", ""satisfaction_score"": 64}]",55,61.59,2025-11-25,"[""events"", ""door_to_door"", ""phone"", ""social_media""]","[""Leader_5"", ""Leader_6"", ""Leader_7""]",high,"[""Message theme 3"", ""Message theme 5"", ""Message theme 2"", ""Message theme 4""]","[""Community events"", ""Community events"", ""Door-to-door campaign""]",0.17,medium,45,high,342208.32,19,12,2025-12-05 12:30:12.082958,2025-12-05 12:30:12.082958
fadcbb60-177d-4ee1-a206-1048a1adc053,PC01,geographic_7_adilabad,geographic,2025-04-01,211522,19.9,"{""age_group"": ""middle_age_36_55"", ""gender"": ""all"", ""occupation_category"": ""business_trade"", ""income_level"": ""middle"", ""education_level"": ""undergraduate"", ""religion"": ""all"", ""caste_category"": ""obc""}","[{""ward"": ""Nirmal"", ""voter_count"": 4415, ""concentration_pct"": 16.71}, {""ward"": ""Khanapur"", ""voter_count"": 3817, ""concentration_pct"": 13.87}, {""ward"": ""Adilabad"", ""voter_count"": 1580, ""concentration_pct"": 19.03}]","{""strong_favorable"": 82875, ""leaning_favorable"": 31824, ""neutral"": 26210, ""opposition"": 29110, ""undecided"": 41503}","[{""issue"": ""infrastructure"", ""priority_level"": ""high"", ""satisfaction_score"": 67}, {""issue"": ""healthcare"", ""priority_level"": ""high"", ""satisfaction_score"": 58}, {""issue"": ""education"", ""priority_level"": ""low"", ""satisfaction_score"": 61}]",61,76.37,2025-10-03,"[""events"", ""social_media""]","[""Leader_3"", ""Leader_9"", ""Leader_3""]",high,"[""Message theme 1"", ""Message theme 1"", ""Message theme 2""]","[""Social media outreach"", ""Social media outreach"", ""Community events""]",0.32,high,80,low,112100.43,10,4,2025-12-05 12:30:12.082987,2025-12-05 12:30:12.082987
905b9499-f1cc-4e66-a9b4-c9a4d6c854b1,PC01,issue_based_8_adilabad,issue_based,2025-03-01,180110,16.95,"{""age_group"": ""middle_age_36_55"", ""gender"": ""all"", ""occupation_category"": ""business_trade"", ""income_level"": ""middle"", ""education_level"": ""undergraduate"", ""religion"": ""all"", ""caste_category"": ""obc""}","[{""ward"": ""Chennur"", ""voter_count"": 2039, ""concentration_pct"": 15.19}, {""ward"": ""Boath"", ""voter_count"": 4733, ""concentration_pct"": 23.8}, {""ward"": ""Mancherial"", ""voter_count"": 2243, ""concentration_pct"": 22.44}]","{""strong_favorable"": 40856, ""leaning_favorable"": 39647, ""neutral"": 24808, ""opposition"": 27755, ""undecided"": 47044}","[{""issue"": ""infrastructure"", ""priority_level"": ""medium"", ""satisfaction_score"": 78}, {""issue"": ""infrastructure"", ""priority_level"": ""medium"", ""satisfaction_score"": 65}, {""issue"": ""healthcare"", ""priority_level"": ""low"", ""satisfaction_score"": 70}]",45,50.23,2025-08-09,"[""door_to_door"", ""social_media"", ""whatsapp""]","[""Leader_10"", ""Leader_8"", ""Leader_4"", ""Leader_6""]",medium,"[""Message theme 2"", ""Message theme 5"", ""Message theme 3""]","[""Door-to-door campaign"", ""Phone banking""]",0.28,low,91,medium,121752.18,46,6,2025-12-05 12:30:12.083017,2025-12-05 12:30:12.083018
dcdad99b-cebd-4822-bed2-4e587abfd59f,PC01,geographic_9_adilabad,geographic,2025-08-01,124700,11.73,"{""age_group"": ""all"", ""gender"": ""female"", ""occupation_category"": ""homemaker_worker"", ""income_level"": ""lower_middle"", ""education_level"": ""secondary"", ""religion"": ""all"", ""caste_category"": ""all""}","[{""ward"": ""Nirmal"", ""voter_count"": 4886, ""concentration_pct"": 20.11}, {""ward"": ""Asifabad"", ""voter_count"": 4588, ""concentration_pct"": 10.41}, {""ward"": ""Boath"", ""voter_count"": 4839, ""concentration_pct"": 28.95}]","{""strong_favorable"": 38295, ""leaning_favorable"": 29355, ""neutral"": 12839, ""opposition"": 12953, ""undecided"": 31258}","[{""issue"": ""water_supply"", ""priority_level"": ""high"", ""satisfaction_score"": 84}, {""issue"": ""employment"", ""priority_level"": ""low"", ""satisfaction_score"": 66}, {""issue"": ""employment"", ""priority_level"": ""high"", ""satisfaction_score"": 51}]",66,44.97,2025-07-01,"[""whatsapp"", ""door_to_door"", ""events"", ""phone""]","[""Leader_4"", ""Leader_2"", ""Leader_8"", ""Leader_1""]",medium,"[""Message theme 3"", ""Message theme 5"", ""Message theme 4"", ""Message theme 4""]","[""Door-to-door campaign"", ""Community events"", ""Social media outreach""]",0.28,medium,58,medium,279195.37,47,3,2025-12-05 12:30:12.083048,2025-12-05 12:30:12.083048
0b213db7-50a4-4cae-9f60-9dd29321e7cf,PC01,geographic_10_adilabad,geographic,2025-10-01,109259,10.28,"{""age_group"": ""all"", ""gender"": ""female"", ""occupation_category"": ""homemaker_worker"", ""income_level"": ""lower_middle"", ""education_level"": ""secondary"", ""religion"": ""all"", ""caste_category"": ""all""}","[{""ward"": ""Chennur"", ""voter_count"": 1473, ""concentration_pct"": 29.5}, {""ward"": ""Adilabad"", ""voter_count"": 1483, ""concentration_pct"": 10.37}, {""ward"": ""Asifabad"", ""voter_count"": 4289, ""concentration_pct"": 15.89}]","{""strong_favorable"": 43423, ""leaning_favorable"": 23852, ""neutral"": 19568, ""opposition"": 16100, ""undecided"": 6316}","[{""issue"": ""infrastructure"", ""priority_level"": ""high"", ""satisfaction_score"": 79}, {""issue"": ""infrastructure"", ""priority_level"": ""high"", ""satisfaction_score"": 46}, {""issue"": ""employment"", ""priority_level"": ""medium"", ""satisfaction_score"": 56}]",69,47.92,2025-11-22,"[""door_to_door"", ""phone""]","[""Leader_4"", ""Leader_7""]",high,"[""Message theme 4"", ""Message theme 3"", ""Message theme 3""]","[""Community events"", ""Social media outreach""]",0.15,high,61,medium,192808.52,17,7,2025-12-05 12:30:12.083077,2025-12-05 12:30:12.083077
