intel_id,constituency_id,opposition_party,report_date,overall_strength_score,estimated_vote_share,trend,candidate_profile,campaign_intensity,activity_metrics,key_messages,attack_lines,target_segments,strong_areas,weak_areas,alliance_partners,support_from_influencers,issues_being_raised,vulnerabilities,recommended_counter_actions,defensive_messaging,source_quality,verification_status,notes,reported_by,created_at,updated_at
9366acde-d009-4009-a084-c236d40d6e13,PC01,Independent,2025-10-25,42,0.16,growing,"{""name"": ""Independent Candidate Adilabad"", ""age"": 39, ""background"": ""Political veteran"", ""strength_areas"": [""Ground connect"", ""Resource mobilization""], ""weakness_areas"": [""Limited experience"", ""Poor communication""], ""popularity_score"": 77}",low,"{""public_meetings_30d"": 15, ""door_to_door_coverage_pct"": 53.45, ""social_media_reach"": 21057, ""volunteer_count"": 389, ""estimated_budget"": 18631753.08}","[""Independent message theme 1"", ""Independent message theme 2"", ""Independent message theme 3""]","[""Attack point 1"", ""Attack point 2""]","[""women"", ""minorities"", ""youth"", ""urban_poor""]","[{""ward"": ""Nirmal"", ""strength_level"": ""very_strong"", ""estimated_vote_share"": 0.36}, {""ward"": ""Chennur"", ""strength_level"": ""very_strong"", ""estimated_vote_share"": 0.3}]","[{""ward"": ""Chennur"", ""strength_level"": ""weak"", ""estimated_vote_share"": 0.16}, {""ward"": ""Asifabad"", ""strength_level"": ""weak"", ""estimated_vote_share"": 0.18}]",[],"[""Influencer_5"", ""Influencer_15"", ""Influencer_19""]","[{""issue"": ""unfulfilled_promises"", ""narrative"": ""Narrative about issue 1"", ""impact_level"": ""high""}, {""issue"": ""poor_infrastructure"", ""narrative"": ""Narrative about issue 1"", ""impact_level"": ""medium""}, {""issue"": ""corruption"", ""narrative"": ""Narrative about issue 5"", ""impact_level"": ""high""}]","[{""vulnerability"": ""Weak local leadership"", ""severity"": ""medium"", ""exploitation_strategy"": ""Strategy 3""}, {""vulnerability"": ""Poor ground organization"", ""severity"": ""low"", ""exploitation_strategy"": ""Strategy 5""}]","[""Counter action 1"", ""Counter action 2"", ""Counter action 3"", ""Counter action 4"", ""Counter action 5""]","[""Defensive message 1"", ""Defensive message 2""]",high,verified,Intelligence report for Independent in Adilabad,field_analyst_3,2025-10-25 21:00:00,2025-10-25 20:30:00
bf67bbb2-a91b-4d79-b40f-eb9176ba9e3c,PC01,Independent,2025-05-16,44,0.23,declining,"{""name"": ""Independent Candidate Adilabad"", ""age"": 39, ""background"": ""Businessman"", ""strength_areas"": [""Youth appeal"", ""Ground connect""], ""weakness_areas"": [""Controversial past"", ""Poor communication""], ""popularity_score"": 48}",medium,"{""public_meetings_30d"": 5, ""door_to_door_coverage_pct"": 21.82, ""social_media_reach"": 85806, ""volunteer_count"": 308, ""estimated_budget"": 21495890.91}","[""Independent message theme 1"", ""Independent message theme 2"", ""Independent message theme 3"", ""Independent message theme 4"", ""Independent message theme 5""]","[""Attack point 1"", ""Attack point 2"", ""Attack point 3"", ""Attack point 4""]","[""women"", ""urban_poor"", ""farmers"", ""minorities""]","[{""ward"": ""Boath"", ""strength_level"": ""very_strong"", ""estimated_vote_share"": 0.41}, {""ward"": ""Asifabad"", ""strength_level"": ""very_strong"", ""estimated_vote_share"": 0.41}]","[{""ward"": ""Chennur"", ""strength_level"": ""weak"", ""estimated_vote_share"": 0.13}, {""ward"": ""Adilabad"", ""strength_level"": ""weak"", ""estimated_vote_share"": 0.14}]","[""AIMIM""]","[""Influencer_16"", ""Influencer_12""]","[{""issue"": ""unemployment"", ""narrative"": ""Narrative about issue 4"", ""impact_level"": ""high""}, {""issue"": ""corruption"", ""narrative"": ""Narrative about issue 5"", ""impact_level"": ""low""}, {""issue"": ""unfulfilled_promises"", ""narrative"": ""Narrative about issue 3"", ""impact_level"": ""medium""}]","[{""vulnerability"": ""Weak local leadership"", ""severity"": ""medium"", ""exploitation_strategy"": ""Strategy 1""}, {""vulnerability"": ""Poor ground organization"", ""severity"": ""high"", ""exploitation_strategy"": ""Strategy 2""}, {""vulnerability"": ""Limited resources"", ""severity"": ""high"", ""exploitation_strategy"": ""Strategy 3""}]","[""Counter action 1"", ""Counter action 2"", ""Counter action 3""]","[""Defensive message 1"", ""Defensive message 2"", ""Defensive message 3"", ""Defensive message 4""]",low,verified,Intelligence report for Independent in Adilabad,field_analyst_10,2025-05-16 20:00:00,2025-05-16 20:30:00
4a9fd77d-1528-4da4-aa9f-4f3bbf606f94,PC01,Independent,2025-02-05,75,0.25,stable,"{""name"": ""Independent Candidate Adilabad"", ""age"": 44, ""background"": ""Ex-bureaucrat"", ""strength_areas"": [""Ground connect"", ""Resource mobilization""], ""weakness_areas"": [""Limited experience"", ""Controversial past""], ""popularity_score"": 69}",medium,"{""public_meetings_30d"": 12, ""door_to_door_coverage_pct"": 41.06, ""social_media_reach"": 72857, ""volunteer_count"": 347, ""estimated_budget"": 30484143.14}","[""Independent message theme 1"", ""Independent message theme 2"", ""Independent message theme 3""]","[""Attack point 1"", ""Attack point 2"", ""Attack point 3""]","[""urban_poor"", ""youth"", ""minorities"", ""women""]","[{""ward"": ""Boath"", ""strength_level"": ""strong"", ""estimated_vote_share"": 0.44}, {""ward"": ""Asifabad"", ""strength_level"": ""strong"", ""estimated_vote_share"": 0.26}]","[{""ward"": ""Nirmal"", ""strength_level"": ""weak"", ""estimated_vote_share"": 0.1}, {""ward"": ""Boath"", ""strength_level"": ""very_weak"", ""estimated_vote_share"": 0.16}]",[],"[""Influencer_13"", ""Influencer_11"", ""Influencer_18""]","[{""issue"": ""corruption"", ""narrative"": ""Narrative about issue 4"", ""impact_level"": ""high""}, {""issue"": ""unfulfilled_promises"", ""narrative"": ""Narrative about issue 2"", ""impact_level"": ""high""}, {""issue"": ""unemployment"", ""narrative"": ""Narrative about issue 2"", ""impact_level"": ""low""}, {""issue"": ""unemployment"", ""narrative"": ""Narrative about issue 4"", ""impact_level"": ""medium""}]","[{""vulnerability"": ""Poor ground organization"", ""severity"": ""low"", ""exploitation_strategy"": ""Strategy 3""}, {""vulnerability"": ""Weak local leadership"", ""severity"": ""high"", ""exploitation_strategy"": ""Strategy 2""}, {""vulnerability"": ""Poor ground organization"", ""severity"": ""medium"", ""exploitation_strategy"": ""Strategy 4""}]","[""Counter action 1"", ""Counter action 2"", ""Counter action 3"", ""Counter action 4""]","[""Defensive message 1"", ""Defensive message 2""]",medium,verified,Intelligence report for Independent in Adilabad,field_analyst_9,2025-02-05 22:00:00,2025-02-05 16:30:00
33c8c5bc-79e9-4cf3-886a-b6dd58d12c06,PC01,Independent,2025-08-16,42,0.34,growing,"{""name"": ""Independent Candidate Adilabad"", ""age"": 47, ""background"": ""Businessman"", ""strength_areas"": [""Resource mobilization"", ""Youth appeal""], ""weakness_areas"": [""Controversial past"", ""Poor communication""], ""popularity_score"": 50}",very_high,"{""public_meetings_30d"": 11, ""door_to_door_coverage_pct"": 61.94, ""social_media_reach"": 81313, ""volunteer_count"": 388, ""estimated_budget"": 43173832.33}","[""Independent message theme 1"", ""Independent message theme 2"", ""Independent message theme 3""]","[""Attack point 1"", ""Attack point 2"", ""Attack point 3"", ""Attack point 4""]","[""minorities"", ""farmers"", ""youth""]","[{""ward"": ""Mancherial"", ""strength_level"": ""very_strong"", ""estimated_vote_share"": 0.35}, {""ward"": ""Boath"", ""strength_level"": ""very_strong"", ""estimated_vote_share"": 0.29}]","[{""ward"": ""Adilabad"", ""strength_level"": ""weak"", ""estimated_vote_share"": 0.11}, {""ward"": ""Mancherial"", ""strength_level"": ""weak"", ""estimated_vote_share"": 0.15}]","[""AIMIM""]","[""Influencer_7"", ""Influencer_9"", ""Influencer_14"", ""Influencer_6"", ""Influencer_17""]","[{""issue"": ""poor_infrastructure"", ""narrative"": ""Narrative about issue 3"", ""impact_level"": ""medium""}, {""issue"": ""unemployment"", ""narrative"": ""Narrative about issue 1"", ""impact_level"": ""low""}, {""issue"": ""unfulfilled_promises"", ""narrative"": ""Narrative about issue 5"", ""impact_level"": ""high""}]","[{""vulnerability"": ""Poor ground organization"", ""severity"": ""high"", ""exploitation_strategy"": ""Strategy 4""}, {""vulnerability"": ""Limited resources"", ""severity"": ""medium"", ""exploitation_strategy"": ""Strategy 4""}]","[""Counter action 1"", ""Counter action 2"", ""Counter action 3"", ""Counter action 4"", ""Counter action 5""]","[""Defensive message 1"", ""Defensive message 2"", ""Defensive message 3"", ""Defensive message 4""]",medium,verified,Intelligence report for Independent in Adilabad,field_analyst_3,2025-08-16 22:00:00,2025-08-16 22:30:00
c2077237-f2d1-429a-9813-cb10141546d3,PC01,Independent,2025-05-24,40,0.21,stable,"{""name"": ""Independent Candidate Adilabad"", ""age"": 53, ""background"": ""Businessman"", ""strength_areas"": [""Youth appeal"", ""Media presence""], ""weakness_areas"": [""Limited experience"", ""Controversial past""], ""popularity_score"": 79}",high,"{""public_meetings_30d"": 13, ""door_to_door_coverage_pct"": 29.13, ""social_media_reach"": 21459, ""volunteer_count"": 185, ""estimated_budget"": 27796185.82}","[""Independent message theme 1"", ""Independent message theme 2"", ""Independent message theme 3"", ""Independent message theme 4""]","[""Attack point 1"", ""Attack point 2""]","[""urban_poor"", ""minorities"", ""youth"", ""farmers""]","[{""ward"": ""Adilabad"", ""strength_level"": ""very_strong"", ""estimated_vote_share"": 0.4}, {""ward"": ""Asifabad"", ""strength_level"": ""strong"", ""estimated_vote_share"": 0.42}]","[{""ward"": ""Adilabad"", ""strength_level"": ""very_weak"", ""estimated_vote_share"": 0.06}, {""ward"": ""Boath"", ""strength_level"": ""weak"", ""estimated_vote_share"": 0.06}]",[],"[""Influencer_17"", ""Influencer_7"", ""Influencer_15"", ""Influencer_6""]","[{""issue"": ""unfulfilled_promises"", ""narrative"": ""Narrative about issue 4"", ""impact_level"": ""low""}, {""issue"": ""corruption"", ""narrative"": ""Narrative about issue 4"", ""impact_level"": ""medium""}]","[{""vulnerability"": ""Limited resources"", ""severity"": ""high"", ""exploitation_strategy"": ""Strategy 2""}, {""vulnerability"": ""Poor ground organization"", ""severity"": ""medium"", ""exploitation_strategy"": ""Strategy 5""}]","[""Counter action 1"", ""Counter action 2"", ""Counter action 3""]","[""Defensive message 1"", ""Defensive message 2"", ""Defensive message 3""]",low,probable,Intelligence report for Independent in Adilabad,field_analyst_3,2025-05-24 18:00:00,2025-05-24 18:30:00
df738b68-b751-4858-8cfe-dff9929a2639,PC01,BRS,2025-04-17,39,0.21,growing,"{""name"": ""BRS Candidate Adilabad"", ""age"": 41, ""background"": ""Political veteran"", ""strength_areas"": [""Youth appeal"", ""Resource mobilization""], ""weakness_areas"": [""Weak organization"", ""Limited experience""], ""popularity_score"": 55}",very_high,"{""public_meetings_30d"": 17, ""door_to_door_coverage_pct"": 22.35, ""social_media_reach"": 72493, ""volunteer_count"": 171, ""estimated_budget"": 44295615.43}","[""BRS message theme 1"", ""BRS message theme 2"", ""BRS message theme 3"", ""BRS message theme 4"", ""BRS message theme 5""]","[""Attack point 1"", ""Attack point 2""]","[""urban_poor"", ""farmers"", ""youth"", ""women""]","[{""ward"": ""Adilabad"", ""strength_level"": ""very_strong"", ""estimated_vote_share"": 0.3}, {""ward"": ""Nirmal"", ""strength_level"": ""very_strong"", ""estimated_vote_share"": 0.35}]","[{""ward"": ""Asifabad"", ""strength_level"": ""weak"", ""estimated_vote_share"": 0.06}, {""ward"": ""Boath"", ""strength_level"": ""weak"", ""estimated_vote_share"": 0.16}]","[""BRS""]","[""Influencer_13"", ""Influencer_12""]","[{""issue"": ""unfulfilled_promises"", ""narrative"": ""Narrative about issue 3"", ""impact_level"": ""low""}, {""issue"": ""corruption"", ""narrative"": ""Narrative about issue 3"", ""impact_level"": ""low""}, {""issue"": ""corruption"", ""narrative"": ""Narrative about issue 2"", ""impact_level"": ""medium""}]","[{""vulnerability"": ""Internal conflicts"", ""severity"": ""low"", ""exploitation_strategy"": ""Strategy 2""}, {""vulnerability"": ""Internal conflicts"", ""severity"": ""high"", ""exploitation_strategy"": ""Strategy 4""}]","[""Counter action 1"", ""Counter action 2"", ""Counter action 3""]","[""Defensive message 1"", ""Defensive message 2""]",low,rumor,Intelligence report for BRS in Adilabad,field_analyst_9,2025-04-17 22:00:00,2025-04-17 18:30:00
ebda2205-5ee1-403c-b680-614aa53bbd15,PC01,BRS,2025-09-03,44,0.23,stable,"{""name"": ""BRS Candidate Adilabad"", ""age"": 65, ""background"": ""Businessman"", ""strength_areas"": [""Ground connect"", ""Media presence""], ""weakness_areas"": [""Controversial past"", ""Weak organization""], ""popularity_score"": 70}",very_high,"{""public_meetings_30d"": 11, ""door_to_door_coverage_pct"": 45.18, ""social_media_reach"": 91575, ""volunteer_count"": 215, ""estimated_budget"": 8729025.73}","[""BRS message theme 1"", ""BRS message theme 2"", ""BRS message theme 3"", ""BRS message theme 4"", ""BRS message theme 5""]","[""Attack point 1"", ""Attack point 2""]","[""urban_poor"", ""youth"", ""women""]","[{""ward"": ""Khanapur"", ""strength_level"": ""very_strong"", ""estimated_vote_share"": 0.42}, {""ward"": ""Chennur"", ""strength_level"": ""strong"", ""estimated_vote_share"": 0.39}]","[{""ward"": ""Adilabad"", ""strength_level"": ""weak"", ""estimated_vote_share"": 0.1}, {""ward"": ""Chennur"", ""strength_level"": ""weak"", ""estimated_vote_share"": 0.15}]","[""Independent""]","[""Influencer_19"", ""Influencer_12""]","[{""issue"": ""unemployment"", ""narrative"": ""Narrative about issue 4"", ""impact_level"": ""medium""}, {""issue"": ""poor_infrastructure"", ""narrative"": ""Narrative about issue 2"", ""impact_level"": ""high""}, {""issue"": ""poor_infrastructure"", ""narrative"": ""Narrative about issue 2"", ""impact_level"": ""high""}, {""issue"": ""corruption"", ""narrative"": ""Narrative about issue 3"", ""impact_level"": ""low""}]","[{""vulnerability"": ""Poor ground organization"", ""severity"": ""high"", ""exploitation_strategy"": ""Strategy 1""}, {""vulnerability"": ""Poor ground organization"", ""severity"": ""low"", ""exploitation_strategy"": ""Strategy 3""}, {""vulnerability"": ""Limited resources"", ""severity"": ""medium"", ""exploitation_strategy"": ""Strategy 5""}]","[""Counter action 1"", ""Counter action 2"", ""Counter action 3"", ""Counter action 4"", ""Counter action 5""]","[""Defensive message 1"", ""Defensive message 2"", ""Defensive message 3""]",low,verified,Intelligence report for BRS in Adilabad,field_analyst_9,2025-09-03 21:00:00,2025-09-03 17:30:00
aeca7a10-a23f-494f-9ed9-db8ac20281ee,PC01,BRS,2025-06-11,71,0.2,stable,"{""name"": ""BRS Candidate Adilabad"", ""age"": 50, ""background"": ""Political veteran"", ""strength_areas"": [""Media presence"", ""Ground connect""], ""weakness_areas"": [""Weak organization"", ""Controversial past""], ""popularity_score"": 50}",very_high,"{""public_meetings_30d"": 24, ""door_to_door_coverage_pct"": 54.6, ""social_media_reach"": 41045, ""volunteer_count"": 149, ""estimated_budget"": 10239501.77}","[""BRS message theme 1"", ""BRS message theme 2"", ""BRS message theme 3"", ""BRS message theme 4""]","[""Attack point 1"", ""Attack point 2"", ""Attack point 3"", ""Attack point 4""]","[""urban_poor"", ""youth"", ""minorities"", ""women""]","[{""ward"": ""Adilabad"", ""strength_level"": ""very_strong"", ""estimated_vote_share"": 0.28}, {""ward"": ""Chennur"", ""strength_level"": ""very_strong"", ""estimated_vote_share"": 0.37}]","[{""ward"": ""Nirmal"", ""strength_level"": ""weak"", ""estimated_vote_share"": 0.06}, {""ward"": ""Boath"", ""strength_level"": ""weak"", ""estimated_vote_share"": 0.06}]",[],"[""Influencer_5"", ""Influencer_5"", ""Influencer_10"", ""Influencer_8""]","[{""issue"": ""poor_infrastructure"", ""narrative"": ""Narrative about issue 5"", ""impact_level"": ""high""}, {""issue"": ""unfulfilled_promises"", ""narrative"": ""Narrative about issue 4"", ""impact_level"": ""low""}, {""issue"": ""unemployment"", ""narrative"": ""Narrative about issue 2"", ""impact_level"": ""medium""}]","[{""vulnerability"": ""Limited resources"", ""severity"": ""high"", ""exploitation_strategy"": ""Strategy 5""}, {""vulnerability"": ""Weak local leadership"", ""severity"": ""high"", ""exploitation_strategy"": ""Strategy 1""}, {""vulnerability"": ""Poor ground organization"", ""severity"": ""low"", ""exploitation_strategy"": ""Strategy 2""}]","[""Counter action 1"", ""Counter action 2"", ""Counter action 3""]","[""Defensive message 1"", ""Defensive message 2"", ""Defensive message 3"", ""Defensive message 4""]",medium,probable,Intelligence report for BRS in Adilabad,field_analyst_1,2025-06-11 21:00:00,2025-06-11 22:30:00
b1e2c887-079d-4494-bd36-1c946ca0c0f6,PC01,BRS,2025-04-22,58,0.18,declining,"{""name"": ""BRS Candidate Adilabad"", ""age"": 35, ""background"": ""Businessman"", ""strength_areas"": [""Media presence"", ""Youth appeal""], ""weakness_areas"": [""Limited experience"", ""Controversial past""], ""popularity_score"": 46}",high,"{""public_meetings_30d"": 17, ""door_to_door_coverage_pct"": 27.44, ""social_media_reach"": 95143, ""volunteer_count"": 77, ""estimated_budget"": 26253768.69}","[""BRS message theme 1"", ""BRS message theme 2"", ""BRS message theme 3"", ""BRS message theme 4"", ""BRS message theme 5""]","[""Attack point 1"", ""Attack point 2""]","[""minorities"", ""farmers"", ""youth""]","[{""ward"": ""Asifabad"", ""strength_level"": ""very_strong"", ""estimated_vote_share"": 0.37}, {""ward"": ""Khanapur"", ""strength_level"": ""strong"", ""estimated_vote_share"": 0.45}]","[{""ward"": ""Khanapur"", ""strength_level"": ""very_weak"", ""estimated_vote_share"": 0.14}, {""ward"": ""Adilabad"", ""strength_level"": ""very_weak"", ""estimated_vote_share"": 0.09}]",[],"[""Influencer_5"", ""Influencer_9"", ""Influencer_17""]","[{""issue"": ""corruption"", ""narrative"": ""Narrative about issue 4"", ""impact_level"": ""low""}, {""issue"": ""unfulfilled_promises"", ""narrative"": ""Narrative about issue 5"", ""impact_level"": ""medium""}, {""issue"": ""corruption"", ""narrative"": ""Narrative about issue 5"", ""impact_level"": ""low""}]","[{""vulnerability"": ""Limited resources"", ""severity"": ""low"", ""exploitation_strategy"": ""Strategy 2""}, {""vulnerability"": ""Weak local leadership"", ""severity"": ""medium"", ""exploitation_strategy"": ""Strategy 5""}, {""vulnerability"": ""Limited resources"", ""severity"": ""medium"", ""exploitation_strategy"": ""Strategy 1""}]","[""Counter action 1"", ""Counter action 2"", ""Counter action 3"", ""Counter action 4"", ""Counter action 5""]","[""Defensive message 1"", ""Defensive message 2"", ""Defensive message 3""]",low,probable,Intelligence report for BRS in Adilabad,field_analyst_5,2025-04-22 17:00:00,2025-04-22 20:30:00
cf5e0508-17de-4d90-9271-7185f246011b,PC01,BRS,2025-06-28,36,0.23,growing,"{""name"": ""BRS Candidate Adilabad"", ""age"": 45, ""background"": ""Ex-bureaucrat"", ""strength_areas"": [""Resource mobilization"", ""Ground connect""], ""weakness_areas"": [""Limited experience"", ""Weak organization""], ""popularity_score"": 46}",high,"{""public_meetings_30d"": 21, ""door_to_door_coverage_pct"": 53.39, ""social_media_reach"": 36398, ""volunteer_count"": 243, ""estimated_budget"": 12981339.32}","[""BRS message theme 1"", ""BRS message theme 2"", ""BRS message theme 3"", ""BRS message theme 4""]","[""Attack point 1"", ""Attack point 2"", ""Attack point 3""]","[""farmers"", ""youth"", ""urban_poor""]","[{""ward"": ""Mancherial"", ""strength_level"": ""very_strong"", ""estimated_vote_share"": 0.32}, {""ward"": ""Chennur"", ""strength_level"": ""strong"", ""estimated_vote_share"": 0.41}]","[{""ward"": ""Asifabad"", ""strength_level"": ""weak"", ""estimated_vote_share"": 0.19}, {""ward"": ""Nirmal"", ""strength_level"": ""very_weak"", ""estimated_vote_share"": 0.2}]",[],"[""Influencer_8"", ""Influencer_11""]","[{""issue"": ""unemployment"", ""narrative"": ""Narrative about issue 3"", ""impact_level"": ""high""}, {""issue"": ""poor_infrastructure"", ""narrative"": ""Narrative about issue 1"", ""impact_level"": ""low""}, {""issue"": ""unfulfilled_promises"", ""narrative"": ""Narrative about issue 3"", ""impact_level"": ""medium""}]","[{""vulnerability"": ""Limited resources"", ""severity"": ""medium"", ""exploitation_strategy"": ""Strategy 2""}, {""vulnerability"": ""Internal conflicts"", ""severity"": ""low"", ""exploitation_strategy"": ""Strategy 1""}]","[""Counter action 1"", ""Counter action 2"", ""Counter action 3"", ""Counter action 4""]","[""Defensive message 1"", ""Defensive message 2""]",medium,verified,Intelligence report for BRS in Adilabad,field_analyst_9,2025-06-28 19:00:00,2025-06-28 22:30:00
