update_id,promise_id,constituency_id,update_date,update_time,completion_percentage,status,update_type,update_title,update_description,achievements,deliverables_completed,beneficiaries_reached,amount_spent,new_challenges,delays_reason,revised_timeline,media_release,public_event,photos_count,videos_count,verified,verified_by,verification_notes,testimonials,updated_by,created_at
f7df464e-a210-40ce-82aa-75bde817a34b,7be50944-5814-4efe-82c9-44c8dca9a215,PC01,2025-04-16,2025-04-16 10:45:00,27,completed,milestone_achieved,Milestone Achieved for Adilabad,Detailed update about milestone_achieved in Adilabad constituency,"[""Achievement 1"", ""Achievement 2""]","[""Deliverable 1"", ""Deliverable 2""]",,,[],,,True,False,15,0,False,verifier_3,Verification notes for update,"[{""person_name"": ""Beneficiary 1"", ""person_role"": ""Shopkeeper"", ""quote"": ""Testimonial quote 1"", ""photo_url"": ""photo_a6ea0a8d-c882-4d95-938c-981bd4f79840.jpg""}, {""person_name"": ""Beneficiary 2"", ""person_role"": ""Local Leader"", ""quote"": ""Testimonial quote 2"", ""photo_url"": ""photo_ea27890f-a0cb-46a6-bdfb-36948cfeedd9.jpg""}, {""person_name"": ""Beneficiary 3"", ""person_role"": ""Resident"", ""quote"": ""Testimonial quote 3"", ""photo_url"": ""photo_92b2778d-991d-40cc-88d7-7419bed0e6b7.jpg""}]",coordinator_7,2025-04-16 11:00:00
f5c9652b-41dc-435a-9702-743c1a14b26b,ddb11c62-7e46-4ea9-b2ac-f00313f3cc83,PC01,2025-12-30,2025-12-30 12:45:00,65,completed,delay_notification,Delay Notification for Adilabad,Detailed update about delay_notification in Adilabad constituency,[],"[""Deliverable 1"", ""Deliverable 2"", ""Deliverable 3""]",,,"[""Challenge 1""]",Budget constraints,2025-12-30,False,False,11,2,False,verifier_2,Verification notes for update,"[{""person_name"": ""Beneficiary 1"", ""person_role"": ""Local Leader"", ""quote"": ""Testimonial quote 1"", ""photo_url"": ""photo_c5bbcd38-c3b2-41db-8ec6-13801a9d131d.jpg""}, {""person_name"": ""Beneficiary 2"", ""person_role"": ""Shopkeeper"", ""quote"": ""Testimonial quote 2"", ""photo_url"": ""photo_8059c6e9-be52-47b8-b9a7-872f44f56dd0.jpg""}, {""person_name"": ""Beneficiary 3"", ""person_role"": ""Shopkeeper"", ""quote"": ""Testimonial quote 3"", ""photo_url"": ""photo_706b11c1-75e1-4731-84d4-a242e16d2994.jpg""}]",coordinator_2,2025-12-30 11:00:00
d5ca0b0e-de39-4822-a4c5-0be74c9ae9ce,aa43673a-adf4-424e-816e-a3ebb63c7575,PC01,2025-07-05,2025-07-05 18:45:00,92,in_progress,budget_update,Budget Update for Adilabad,Detailed update about budget_update in Adilabad constituency,[],"[""Deliverable 1"", ""Deliverable 2""]",,942393.42,[],,,False,False,15,4,True,verifier_4,Verification notes for update,"[{""person_name"": ""Beneficiary 1"", ""person_role"": ""Resident"", ""quote"": ""Testimonial quote 1"", ""photo_url"": ""photo_c0374e02-1a6a-42a2-8203-fa4bcb4a1907.jpg""}, {""person_name"": ""Beneficiary 2"", ""person_role"": ""Resident"", ""quote"": ""Testimonial quote 2"", ""photo_url"": ""photo_bb81cd27-e639-4e70-aa24-7737c54dd523.jpg""}, {""person_name"": ""Beneficiary 3"", ""person_role"": ""Shopkeeper"", ""quote"": ""Testimonial quote 3"", ""photo_url"": ""photo_30f0e385-5611-4f1b-b401-4f3a4fd38a43.jpg""}]",coordinator_9,2025-07-05 18:00:00
286d1452-ec5e-44d9-b09f-a7af36f7af82,49888cd5-8eb0-4a3c-bf6f-b8cfe37b3ce3,PC01,2025-04-23,2025-04-23 12:45:00,79,in_progress,milestone_achieved,Milestone Achieved for Adilabad,Detailed update about milestone_achieved in Adilabad constituency,"[""Achievement 1"", ""Achievement 2""]","[""Deliverable 1"", ""Deliverable 2""]",,,[],,,True,False,3,0,False,verifier_5,,"[{""person_name"": ""Beneficiary 1"", ""person_role"": ""Local Leader"", ""quote"": ""Testimonial quote 1"", ""photo_url"": ""photo_6558356e-ea5d-47a4-be2b-22402fe725cd.jpg""}, {""person_name"": ""Beneficiary 2"", ""person_role"": ""Shopkeeper"", ""quote"": ""Testimonial quote 2"", ""photo_url"": ""photo_92685c88-1ed4-4534-8c83-a5192edfa0c3.jpg""}]",coordinator_5,2025-04-23 10:00:00
510d251d-83eb-456d-a153-d9d898abe8c9,c5af6517-0722-4a9f-8ab6-e2742e0fa6c3,PC01,2025-01-23,2025-01-23 12:45:00,44,completed,delay_notification,Delay Notification for Adilabad,Detailed update about delay_notification in Adilabad constituency,[],"[""Deliverable 1""]",,,"[""Challenge 1"", ""Challenge 2"", ""Challenge 3""]",Administrative delays,2025-07-10,False,False,13,0,True,verifier_4,Verification notes for update,"[{""person_name"": ""Beneficiary 1"", ""person_role"": ""Local Leader"", ""quote"": ""Testimonial quote 1"", ""photo_url"": ""photo_2323baf7-93ea-48e5-9b7b-2a086e05c006.jpg""}]",coordinator_3,2025-01-23 19:00:00
2e6ea227-7d58-4e6a-9a59-d295ed0f5de7,f7482e65-066d-4c8e-97ae-fba3aaafbf11,PC01,2025-10-16,2025-10-16 17:15:00,91,announced,progress_report,Progress Report for Adilabad,Detailed update about progress_report in Adilabad constituency,[],"[""Deliverable 1""]",7200.0,,[],,,True,False,11,1,False,verifier_5,,"[{""person_name"": ""Beneficiary 1"", ""person_role"": ""Shopkeeper"", ""quote"": ""Testimonial quote 1"", ""photo_url"": ""photo_6690e64b-ec51-43ed-ab84-b8bf73cb061e.jpg""}, {""person_name"": ""Beneficiary 2"", ""person_role"": ""Shopkeeper"", ""quote"": ""Testimonial quote 2"", ""photo_url"": ""photo_2dd842fe-3fbb-4cad-a4c5-d4873163484f.jpg""}]",coordinator_8,2025-10-16 20:00:00
d85ad74a-9390-466d-afe6-f9b3a54f0709,1d2d0f95-a3fd-4c6b-b56d-96d4e175d139,PC01,2025-03-24,2025-03-24 18:00:00,44,planning,progress_report,Progress Report for Adilabad,Detailed update about progress_report in Adilabad constituency,[],"[""Deliverable 1"", ""Deliverable 2"", ""Deliverable 3""]",9236.0,,[],,,True,False,0,4,False,verifier_1,Verification notes for update,"[{""person_name"": ""Beneficiary 1"", ""person_role"": ""Resident"", ""quote"": ""Testimonial quote 1"", ""photo_url"": ""photo_a7087635-e2c3-4712-b886-67707da76e1e.jpg""}, {""person_name"": ""Beneficiary 2"", ""person_role"": ""Shopkeeper"", ""quote"": ""Testimonial quote 2"", ""photo_url"": ""photo_4963630c-1332-49f1-8f36-12b22e22debb.jpg""}, {""person_name"": ""Beneficiary 3"", ""person_role"": ""Resident"", ""quote"": ""Testimonial quote 3"", ""photo_url"": ""photo_6d0dea63-4037-47a0-8e52-d4aaf9f1968a.jpg""}]",coordinator_9,2025-03-24 14:00:00
fa536bf2-4629-429c-aafd-afa948d8fe5e,f79245f3-0feb-465c-a448-6c0eaac276fc,PC01,2025-04-01,2025-04-01 15:45:00,81,delayed,budget_update,Budget Update for Adilabad,Detailed update about budget_update in Adilabad constituency,[],"[""Deliverable 1"", ""Deliverable 2""]",,58786.8,[],,,False,False,4,0,False,verifier_1,Verification notes for update,[],coordinator_9,2025-04-01 15:00:00
ff86218a-1192-4d29-9e89-6b6112d9b405,d83f8791-c60f-4024-8183-abf80ec45f27,PC01,2025-11-06,2025-11-06 16:15:00,38,announced,progress_report,Progress Report for Adilabad,Detailed update about progress_report in Adilabad constituency,[],"[""Deliverable 1""]",8927.0,,[],,,True,False,1,5,True,verifier_1,Verification notes for update,[],coordinator_7,2025-11-06 11:00:00
7adc8923-136e-4913-bb81-e732d2487950,b4074613-cd6f-4b4e-b420-b338ce6f48c6,PC01,2025-03-21,2025-03-21 10:00:00,86,delayed,completion,Completion for Adilabad,Detailed update about completion in Adilabad constituency,"[""Achievement 1""]","[""Deliverable 1""]",4035.0,,[],,,True,True,12,3,True,verifier_2,Verification notes for update,"[{""person_name"": ""Beneficiary 1"", ""person_role"": ""Resident"", ""quote"": ""Testimonial quote 1"", ""photo_url"": ""photo_c19239b3-2147-4a21-8906-2b4638a3e4b5.jpg""}]",coordinator_3,2025-03-21 18:00:00
1b579cbd-de45-4fc4-afa6-e910b6bcda3a,fcb3dc66-e071-4a36-8339-6dc86a85f40d,PC01,2025-03-13,2025-03-13 09:15:00,90,planning,progress_report,Progress Report for Adilabad,Detailed update about progress_report in Adilabad constituency,[],"[""Deliverable 1"", ""Deliverable 2""]",5554.0,,[],,,True,False,12,4,False,,Verification notes for update,"[{""person_name"": ""Beneficiary 1"", ""person_role"": ""Local Leader"", ""quote"": ""Testimonial quote 1"", ""photo_url"": ""photo_60688304-05df-42b3-9fec-52deee536da5.jpg""}, {""person_name"": ""Beneficiary 2"", ""person_role"": ""Resident"", ""quote"": ""Testimonial quote 2"", ""photo_url"": ""photo_56d6628e-dceb-4c42-9561-d3b4118b0464.jpg""}, {""person_name"": ""Beneficiary 3"", ""person_role"": ""Local Leader"", ""quote"": ""Testimonial quote 3"", ""photo_url"": ""photo_a0365ad2-5cec-468b-9314-d3e98a61df0c.jpg""}]",coordinator_7,2025-03-13 14:00:00
