milestone_id,promise_id,constituency_id,milestone_name,milestone_description,milestone_order,target_date,actual_date,status,completion_percentage,deliverables,responsible_team,budget_allocated,budget_spent,challenges,verification_status,verified_by,verification_date,photos,documents,notes,created_at,updated_at
afe8b36c-edcd-4721-9576-d76ec1bd9ebf,1030e09a-6ea4-4a6d-8f79-c3bf3cded35d,PC01,work_started,Milestone for promise in Adilabad,1,2025-03-08,,delayed,65,"[""Deliverable 1"", ""Deliverable 2"", ""Deliverable 3""]",Team 4,335868.86,0.0,[],verified,,,[],"[""doc_872d65e8-926e-447b-97de-fecc9919a613.pdf"", ""doc_3205b5b0-673b-4251-b908-d4ab20105ae8.pdf"", ""doc_20b8d68d-4d0b-4045-a0eb-17ff1fa29234.pdf"", ""doc_05d495dc-1bdd-4152-b45c-140d9567db8d.pdf""]",Milestone tracking notes for Adilabad,2025-12-05 12:30:12.171311,2025-12-05 12:30:12.171315
7bfc738e-2841-4975-af00-9da3c0ece116,898f1e37-ed14-43f4-8e09-b5d6f85754a7,PC01,inauguration,Milestone for promise in Adilabad,7,2025-08-17,,in_progress,25,"[""Deliverable 1"", ""Deliverable 2""]",Team 3,1809002.27,2195473.47,"[""Challenge 1"", ""Challenge 2"", ""Challenge 3""]",not_required,,,"[""photo_fd9d2030-057c-4f46-8290-4f4a6544659a.jpg"", ""photo_275728da-41bf-4bc0-964e-ea34a86a424f.jpg"", ""photo_55559661-3b4d-4749-8d5f-a65241d16684.jpg"", ""photo_7b24d16a-52c9-468e-9071-6aef2a19dfc8.jpg"", ""photo_cc5be00b-b6d6-4e2b-a087-92c724e55d27.jpg"", ""photo_51d4cf93-278c-41cb-b860-e73f6a7cdc6e.jpg"", ""photo_f0bb31b5-7392-452c-b439-ff20df9f8a9d.jpg"", ""photo_08734d75-291c-4bb2-ba26-fc557d131356.jpg""]","[""doc_0223d826-18dc-4edd-938d-69db5b66575b.pdf"", ""doc_b95f59cd-a690-4832-8f87-1a2bc116b3ea.pdf"", ""doc_6a65de91-a955-42c2-a158-017b9b25422a.pdf"", ""doc_47ee9964-b275-4399-ba1c-e1b9ed16b747.pdf""]",Milestone tracking notes for Adilabad,2025-12-05 12:30:12.171375,2025-12-05 12:30:12.171376
b65d4bf1-ec5b-42ff-a040-9cd784632111,204e0f8f-93f0-4c2b-92ad-45c0ade4e60c,PC01,budget_approved,Milestone for promise in Adilabad,5,2025-05-19,,pending,0,"[""Deliverable 1"", ""Deliverable 2""]",Team 1,4942673.06,0.0,[],pending,,,"[""photo_262520ae-6004-4b48-bf59-acdd3dd3f8b0.jpg""]","[""doc_4f7aefe5-5ac2-4f21-9202-29b8674173ab.pdf"", ""doc_e98ab994-5afb-4535-b686-440b61fb3b91.pdf"", ""doc_ea118571-2071-49cf-ab70-75e97d88287e.pdf"", ""doc_fe5677f7-dd33-455b-be35-fd87680361eb.pdf""]",Milestone tracking notes for Adilabad,2025-12-05 12:30:12.171400,2025-12-05 12:30:12.171400
ccd8640b-b60e-4f94-a5a3-e30dcabd6a77,abc9ecfd-48fd-4a91-a5c2-cb4ee5d340e4,PC01,phase_2_completed,Milestone for promise in Adilabad,6,2025-03-02,2025-06-24,completed,72,"[""Deliverable 1"", ""Deliverable 2"", ""Deliverable 3"", ""Deliverable 4"", ""Deliverable 5""]",Team 4,4087727.5,1258982.65,"[""Challenge 1"", ""Challenge 2""]",not_required,verifier_3,2025-06-24,"[""photo_5711ea33-700a-4ea6-8f53-4f5028007885.jpg"", ""photo_da2bfeb7-4dde-4bcd-89d1-dfc089818124.jpg"", ""photo_74bcff87-aa82-4d16-b5bd-4647a9d11fc2.jpg"", ""photo_5040ade5-918a-4f9c-ab9d-82b7857e08b7.jpg"", ""photo_bd28ecdb-131c-48dd-b4a0-a0d4d22ebe2f.jpg""]","[""doc_f210c48a-9b8c-4a15-bdca-ee3250dfd172.pdf"", ""doc_975b7e6e-53f1-4a55-9635-d85db6c081db.pdf""]",Milestone tracking notes for Adilabad,2025-12-05 12:30:12.171482,2025-12-05 12:30:12.171483
2c9a2910-5b63-42c5-a1af-d38692d9b635,b79bb607-12f0-47c1-95e2-58d091c97dc0,PC01,final_completion,Milestone for promise in Adilabad,6,2025-05-02,,in_progress,48,"[""Deliverable 1"", ""Deliverable 2"", ""Deliverable 3"", ""Deliverable 4"", ""Deliverable 5""]",Team 5,1497272.44,2904554.67,"[""Challenge 1""]",pending,,,"[""photo_efab26ac-7f72-40e6-ac06-63914495f874.jpg"", ""photo_b735fec5-3845-420e-9290-a76ac3349a8f.jpg"", ""photo_81a2b1c9-8131-460c-80c3-b43fa0bde661.jpg"", ""photo_0b6844af-e7cb-4a1e-b438-a2b8abbaf2f0.jpg"", ""photo_d0c6e91c-a10a-4e33-beb1-e1ec3aaa6141.jpg"", ""photo_f2d23746-9fc2-445a-bc09-15108862129a.jpg"", ""photo_ac23239f-f5ec-4bea-b655-26c3e7c204e3.jpg""]","[""doc_6ac3950a-3e43-41ce-8ecc-e1b5a9b56d0c.pdf"", ""doc_1b92fb4e-c68c-4316-b759-6dd698d4d022.pdf"", ""doc_734584db-38ef-4439-bbd0-878f865b85a0.pdf""]",Milestone tracking notes for Adilabad,2025-12-05 12:30:12.171518,2025-12-05 12:30:12.171519
4323e084-35fd-4c07-b0e1-cc499d5c48b0,f30a5f8d-890d-48b5-a32c-db28243e0d18,PC01,phase_1_completed,Milestone for promise in Adilabad,5,2025-12-15,,pending,0,"[""Deliverable 1"", ""Deliverable 2"", ""Deliverable 3"", ""Deliverable 4"", ""Deliverable 5""]",Team 2,482827.09,0.0,[],pending,,,"[""photo_a2cdca8f-9d21-4d53-8e80-2da7b65ed04a.jpg"", ""photo_d02628c7-b2ba-4bed-ac65-5ff09f65c277.jpg"", ""photo_205c50cc-fbd9-437e-b3c3-8475d1fe9980.jpg""]","[""doc_09fa3731-cd0b-41ee-ab5b-950badf7cc37.pdf""]",Milestone tracking notes for Adilabad,2025-12-05 12:30:12.171541,2025-12-05 12:30:12.171541
995dae0d-0520-4bbc-b7e6-c62c66a06b61,e2d2185e-f1ec-409b-a67d-436126291393,PC01,phase_1_completed,Milestone for promise in Adilabad,3,2025-12-26,2025-01-29,completed,31,"[""Deliverable 1"", ""Deliverable 2"", ""Deliverable 3"", ""Deliverable 4"", ""Deliverable 5""]",Team 3,2714579.93,674312.64,[],pending,verifier_5,2025-01-29,"[""photo_3f8f5812-2845-4ee6-a0d5-12c506c50b74.jpg"", ""photo_2eccbead-aa1e-4c6c-8d17-ee3c8c66f549.jpg"", ""photo_bc8c3f32-cdc9-4e6b-b905-a4cdff69d8e6.jpg"", ""photo_4d32d372-83f9-4c32-bd86-ae318884dcf6.jpg""]","[""doc_4279ee8c-7b60-41c5-a1ff-bc36ce01fea5.pdf""]",Milestone tracking notes for Adilabad,2025-12-05 12:30:12.171566,2025-12-05 12:30:12.171566
0b280dd8-cfd0-4fe6-9d89-392cac899492,6155f08d-4a18-45f3-b6fd-074a08f41e12,PC01,final_completion,Milestone for promise in Adilabad,4,2025-06-17,,in_progress,50,"[""Deliverable 1"", ""Deliverable 2"", ""Deliverable 3""]",Team 3,1761517.45,1638648.04,"[""Challenge 1"", ""Challenge 2""]",not_required,,,[],"[""doc_adb128fc-71c0-4b4e-9d7e-c603b652e2b1.pdf""]",Milestone tracking notes for Adilabad,2025-12-05 12:30:12.171582,2025-12-05 12:30:12.171582
50f08add-aa5a-4afa-be8d-fda3469669bd,4cdc3771-1151-4aaa-8495-0deac68dee34,PC01,budget_approved,Milestone for promise in Adilabad,2,2025-06-27,,pending,0,"[""Deliverable 1"", ""Deliverable 2"", ""Deliverable 3""]",Team 1,760674.55,0.0,"[""Challenge 1""]",verified,,,"[""photo_ea20486e-6762-4d14-a18a-1f390df9d42f.jpg"", ""photo_3b77845c-4655-48d8-b929-b999a5b692e7.jpg"", ""photo_22304b7e-b689-48e2-ac6f-ab012ddcc14e.jpg"", ""photo_e69f97b3-dfd9-481c-8fee-b8e543a68886.jpg"", ""photo_c8e8a7d6-5a82-4504-b191-c20995d3827f.jpg"", ""photo_082b270f-4af3-4f4d-88d3-d2b3eb1fd722.jpg""]","[""doc_103b8773-9d90-4046-afa2-470a1403c9c6.pdf""]",Milestone tracking notes for Adilabad,2025-12-05 12:30:12.171608,2025-12-05 12:30:12.171608
cb6eb568-ffba-4c01-a989-d745b3b8271e,66b601ac-f606-4b2d-91e6-b698fcdb62f0,PC01,phase_1_completed,Milestone for promise in Adilabad,1,2025-01-30,2025-11-27,completed,17,"[""Deliverable 1"", ""Deliverable 2"", ""Deliverable 3"", ""Deliverable 4""]",Team 2,2414680.05,2145007.22,[],not_required,verifier_5,2025-11-27,[],"[""doc_65358ea3-f73f-4cc8-91ea-fbdd2ed3493c.pdf""]",Milestone tracking notes for Adilabad,2025-12-05 12:30:12.171623,2025-12-05 12:30:12.171623
bf74868a-99c3-455e-b501-63fc786880b6,1e2b6485-7a94-42f5-a28d-5fac053e29f4,PC01,inauguration,Milestone for promise in Adilabad,6,2025-12-15,,delayed,18,"[""Deliverable 1"", ""Deliverable 2"", ""Deliverable 3"", ""Deliverable 4"", ""Deliverable 5""]",Team 2,2728807.49,0.0,[],verified,,,"[""photo_3da441eb-eca4-4184-81d4-109a3fe40306.jpg"", ""photo_d441cfb3-7158-4846-bf1c-e506c3d424fa.jpg"", ""photo_b4cac1d5-26c9-41ab-944c-ba1c5c84f5af.jpg"", ""photo_88c594fc-eed7-4b54-a447-02aab0829a98.jpg"", ""photo_17a24d2d-2cd0-41cf-a552-9f1c0127cadf.jpg""]","[""doc_88f2385f-705c-4da2-8fe0-cfb3b8acc5e7.pdf""]",Milestone tracking notes for Adilabad,2025-12-05 12:30:12.171647,2025-12-05 12:30:12.171647
443e8a17-2215-4ae2-851a-a83bdd460156,5b96b6e0-9e61-448a-b136-5df11ab7401e,PC01,work_started,Milestone for promise in Adilabad,7,2025-08-30,,pending,0,"[""Deliverable 1"", ""Deliverable 2"", ""Deliverable 3"", ""Deliverable 4""]",Team 2,1189040.82,0.0,[],verified,,,"[""photo_0210140c-c0b1-4d10-80c8-009976b2de1e.jpg"", ""photo_56002742-3436-47d6-aad2-3bd1ef067262.jpg"", ""photo_f3afe118-837b-496b-96f1-98e4dedb8e39.jpg""]","[""doc_f4a909aa-e275-492e-b47a-c5170ab322ff.pdf"", ""doc_5f6d36be-1d7b-4d61-8130-d114ac94eae8.pdf"", ""doc_90a0ab2a-3dd7-472b-9a95-23d246889ff5.pdf"", ""doc_fa68678f-bb1a-4745-9995-02e03aa86342.pdf""]",Milestone tracking notes for Adilabad,2025-12-05 12:30:12.171672,2025-12-05 12:30:12.171672
8b954dda-853a-4218-9284-782e362423cf,235b075d-2787-40ff-aea1-d44214833dcc,PC01,phase_2_completed,Milestone for promise in Adilabad,5,2025-11-09,,in_progress,40,"[""Deliverable 1"", ""Deliverable 2"", ""Deliverable 3""]",Team 2,3109654.77,1952476.78,[],not_required,,,"[""photo_7d7276cc-280e-4289-8a15-f9197c084f94.jpg"", ""photo_1efb2b75-b789-45ab-88b4-49ef024bdd02.jpg""]","[""doc_6144bb7d-39eb-4892-8c3c-d9f0e9ae8bac.pdf"", ""doc_e5bdcd03-e938-46dd-a441-3e2fab17179f.pdf"", ""doc_1cf9b9a8-c68a-4d2d-bc37-b0d17d524ac5.pdf"", ""doc_c7024c46-7a4f-41d1-abe3-3d1c108bf135.pdf""]",Milestone tracking notes for Adilabad,2025-12-05 12:30:12.171705,2025-12-05 12:30:12.171706
d2882707-b807-43c2-a045-102b60346ae1,92414c93-d135-44cb-a911-46958c749134,PC01,phase_2_completed,Milestone for promise in Adilabad,3,2025-10-01,,delayed,14,"[""Deliverable 1"", ""Deliverable 2""]",Team 1,155217.62,0.0,"[""Challenge 1"", ""Challenge 2"", ""Challenge 3""]",verified,,,"[""photo_00f930cd-1fa5-47d5-b694-aa1d1a58606a.jpg"", ""photo_bce0322f-6ecf-4714-a599-786d7a2f571d.jpg"", ""photo_c511932c-9303-4650-a3f1-7e86669d05f1.jpg""]",[],Milestone tracking notes for Adilabad,2025-12-05 12:30:12.171730,2025-12-05 12:30:12.171731
07f6bbcc-a386-4f5b-a7bd-911c21701c56,5fc141c1-2258-43b6-86c5-30d15c50ee56,PC01,final_completion,Milestone for promise in Adilabad,1,2025-03-13,,delayed,35,"[""Deliverable 1"", ""Deliverable 2"", ""Deliverable 3""]",Team 5,2785866.72,0.0,[],not_required,,,"[""photo_dbe38178-b6d1-4aab-beab-c24504e1608c.jpg"", ""photo_73a78c28-7c19-4452-9bbc-9dcabbcc0177.jpg"", ""photo_b956c590-b266-431e-acbb-662a6770bbfd.jpg"", ""photo_47bfb0c7-848e-4d63-95ab-c55acfb3bb9a.jpg"", ""photo_da3d16cd-e7fc-4e7c-aa3c-e03f9095957b.jpg""]","[""doc_539c65a8-4396-45f6-965f-40f237b66cb7.pdf"", ""doc_8c587e2f-afa8-44e7-addb-7bf56543698c.pdf""]",Milestone tracking notes for Adilabad,2025-12-05 12:30:12.171758,2025-12-05 12:30:12.171758
1bb2caae-4ba6-4d11-b707-bd2a4bbb5c57,5a1b4017-bad0-42dd-b12c-71f664fec2ca,PC01,planning_completed,Milestone for promise in Adilabad,7,2025-04-12,2025-01-03,completed,86,"[""Deliverable 1"", ""Deliverable 2"", ""Deliverable 3"", ""Deliverable 4""]",Team 3,2192176.57,681009.9,"[""Challenge 1""]",pending,verifier_5,2025-01-03,"[""photo_0f5267c2-4652-4866-92c6-31c9d3da7069.jpg"", ""photo_5c298346-0bc0-463c-b69d-17da6b84e881.jpg"", ""photo_4ccf1659-53aa-4f8e-85b6-26eb633b7cc8.jpg"", ""photo_b331f6c2-c5ef-4c1e-b49b-92f895a57f3e.jpg"", ""photo_94072f87-43cf-437e-b6a8-5dd1088edc54.jpg"", ""photo_88550981-b6a7-4cab-b47a-1c88610f3754.jpg"", ""photo_b196463c-dd83-431d-a29c-0d3ffe2239ad.jpg"", ""photo_3777ec5e-915f-47a8-bd11-59d456d7a9c4.jpg""]","[""doc_a4c79ca7-7524-498f-a82c-c0d2c873bddc.pdf"", ""doc_e5d8263f-76e2-4b0c-893d-ffaf8d929342.pdf"", ""doc_41d21cec-94b9-4835-9a74-0f4d2bfd7a2a.pdf"", ""doc_0f67bea6-7979-4cd8-b4ce-9ca9310a1c4e.pdf""]",Milestone tracking notes for Adilabad,2025-12-05 12:30:12.171795,2025-12-05 12:30:12.171796
6aaaec6e-4d15-4a2a-a7a5-a18eece24f0f,3624f309-ecfb-4282-ba35-0d741ccef26b,PC02,phase_2_completed,Milestone for promise in Peddapalle,7,2025-03-16,,delayed,47,"[""Deliverable 1"", ""Deliverable 2"", ""Deliverable 3""]",Team 5,1137099.21,0.0,[],not_required,,,"[""photo_bc56cef7-b2a0-47f8-83bd-5974833c191c.jpg"", ""photo_81089557-7b26-4c4e-83e7-f9da2ee9476d.jpg""]","[""doc_db9cc6f7-2c5f-4ef9-ae2b-8e5e8f9a31bf.pdf"", ""doc_9ea72cee-df87-4675-9944-0d8e8d96281d.pdf"", ""doc_3a1aa0e3-4f4c-430e-b682-0a629463cf20.pdf"", ""doc_74558ead-9549-4fc0-8a89-6428b533e09d.pdf""]",Milestone tracking notes for Peddapalle,2025-12-05 12:30:12.171821,2025-12-05 12:30:12.171821
7431daee-f9f9-4fa6-8ae8-18dd17cdcca5,33619f82-dfe2-42e3-9116-03ae4af8ee49,PC02,phase_2_completed,Milestone for promise in Peddapalle,6,2025-11-02,,in_progress,54,"[""Deliverable 1"", ""Deliverable 2"", ""Deliverable 3"", ""Deliverable 4""]",Team 2,4742923.57,191624.2,"[""Challenge 1"", ""Challenge 2"", ""Challenge 3""]",pending,,,"[""photo_f7e2942f-0bd7-41f8-a0b3-12cd34777481.jpg"", ""photo_f6249122-9c75-465d-88b9-4e3adcac5f0e.jpg"", ""photo_a9cf4d84-525e-446b-9d2a-bf236f534bbf.jpg"", ""photo_73ec1a2d-c4f9-433c-9768-f9bf8b869eeb.jpg"", ""photo_0fc64ec4-785b-4f05-b66b-4cd113082496.jpg"", ""photo_c10e5437-a073-4b58-a401-2bd279b9bf18.jpg"", ""photo_12986877-733f-4f5c-93d4-a21af2eeb178.jpg""]","[""doc_1d91e6c5-71e8-4c63-9f27-8bd4b29f5d9a.pdf""]",Milestone tracking notes for Peddapalle,2025-12-05 12:30:12.171850,2025-12-05 12:30:12.171850
ce409cfe-b3d7-42ed-98bf-d90e7d72f242,30fe5dee-dd4a-48ec-8069-b54819260516,PC02,planning_completed,Milestone for promise in Peddapalle,5,2025-05-27,,pending,0,"[""Deliverable 1"", ""Deliverable 2"", ""Deliverable 3"", ""Deliverable 4""]",Team 4,2505275.05,0.0,[],verified,,,"[""photo_8d8f2a27-2c7e-4411-9ce1-60eae2508a5d.jpg"", ""photo_4f0804c5-a692-4c48-a6ff-c20410a7cf4c.jpg"", ""photo_fd099fa1-c53d-4836-a994-298ea476e507.jpg"", ""photo_33094e0a-c72c-4908-838c-819cf3cd55e1.jpg"", ""photo_774e5aa2-aff9-420a-8c49-8e4fabd51c44.jpg"", ""photo_51ae7f69-4648-4acd-adb7-48a8e31f2e87.jpg""]",[],Milestone tracking notes for Peddapalle,2025-12-05 12:30:12.171873,2025-12-05 12:30:12.171874
74e4ee5d-f3cd-4821-8b0d-eed8d806e3c0,27a71ddd-d694-4485-9461-626b2ec30099,PC02,phase_2_completed,Milestone for promise in Peddapalle,7,2025-07-29,,pending,0,"[""Deliverable 1"", ""Deliverable 2""]",Team 5,140040.28,0.0,"[""Challenge 1""]",not_required,,,"[""photo_24c3d81d-c3b2-4d1d-a6cf-511b726a4902.jpg"", ""photo_86def9bf-404b-4648-aa79-788fe44c1053.jpg"", ""photo_f80f22c3-53d3-4daf-8d59-cf4269819d5e.jpg"", ""photo_44e229ec-07ef-438d-8c7e-50f670568276.jpg"", ""photo_a4df717a-6d55-44fb-bd01-71e1719e6f79.jpg"", ""photo_d09104c2-888d-4018-9a24-c3be4fb2aeba.jpg""]",[],Milestone tracking notes for Peddapalle,2025-12-05 12:30:12.171897,2025-12-05 12:30:12.171897
02c15b69-cdb8-44d6-ad8f-b49085566fbf,5c0f85de-60ed-4d5c-b613-110258c97434,PC02,budget_approved,Milestone for promise in Peddapalle,4,2025-07-11,,in_progress,92,"[""Deliverable 1"", ""Deliverable 2""]",Team 4,3399528.32,837909.32,"[""Challenge 1"", ""Challenge 2"", ""Challenge 3""]",pending,,,"[""photo_ce198ddd-58e9-4c8c-bb63-2db7c8a4c041.jpg"", ""photo_616dbf3b-4488-4904-b0ac-af910bf2a93b.jpg"", ""photo_28190092-51b0-46c9-b178-b164eadc907f.jpg"", ""photo_82f5cc52-17f3-4c47-9c95-b3628648d100.jpg"", ""photo_831c4f6e-54f0-40dd-8894-ce3094430e35.jpg""]","[""doc_5c765137-632a-4e33-8ec0-4327b7108ea9.pdf"", ""doc_58a7c800-fa88-4f58-8b90-0075dcded439.pdf"", ""doc_cd167332-d5b1-443c-9d0d-55c9ba0f7306.pdf""]",Milestone tracking notes for Peddapalle,2025-12-05 12:30:12.171925,2025-12-05 12:30:12.171925
20007d95-5e96-4e31-8012-8db2f4f974a2,c9931389-35fd-46fa-89fb-287ad2d35a29,PC02,planning_completed,Milestone for promise in Peddapalle,7,2025-07-05,,pending,0,"[""Deliverable 1"", ""Deliverable 2"", ""Deliverable 3"", ""Deliverable 4""]",Team 2,1556821.82,0.0,"[""Challenge 1"", ""Challenge 2""]",not_required,,,"[""photo_085183e2-035d-4bc2-8ce8-d2f9854bc57e.jpg"", ""photo_3d982c4e-0142-4a1c-b884-fa91754e30d8.jpg"", ""photo_246b173e-f8bd-4d63-9df5-ec1a1a5099df.jpg""]","[""doc_003182ec-de12-4ab6-a910-0f1df2f44fa6.pdf"", ""doc_49d4a4b9-9905-4c02-9ce8-1b0e436267fb.pdf"", ""doc_7c91e228-a1fa-432d-b1f1-a836cb49ae87.pdf""]",Milestone tracking notes for Peddapalle,2025-12-05 12:30:12.171950,2025-12-05 12:30:12.171950
