alert_id,constituency_id,alert_type,alert_category,title,description,severity,urgency,location_type,location_ward,location_village,location_coordinates,affected_area_radius_km,potential_impact,estimated_people_affected,estimated_voters_affected,political_risk_score,source_type,source_name,source_credibility,reported_by,incident_time,detected_at,reported_at,status,priority,assigned_to,assigned_at,escalated_to,escalation_level,actions_taken,resolution_notes,resolved_by,resolved_at,resolution_time_mins,requires_followup,followup_date,followup_notes,photos,videos,documents,media_coverage,related_alerts,related_promises,related_visits,ai_sentiment_score,ai_risk_prediction,ai_recommended_actions,created_at,updated_at
086ee380-9c1a-44dd-931d-d616e5785bc0,PC01,anomaly,law_order,Alert in Nirmal,Detailed alert description for Adilabad,critical,immediate,constituency_wide,Chennur,,"{""lat"": 18.466379, ""lng"": 78.858207}",,low,8189,2714,42,volunteer,,medium,volunteer_26,2025-08-11 20:38:00,2025-08-12 08:38:00,2025-08-12 08:38:00,new,p0_critical,coordinator_1,,senior_officer_2,1,[],,,,,,,,"[""photo_5d0b9e76-3c2c-406f-87d2-b04f6d162519.jpg"", ""photo_b4ab367b-27f8-471f-9b49-2441c7206203.jpg"", ""photo_e2afd66e-b768-4307-9896-770ade77a92b.jpg""]","[""video_fbb40a99-00db-459a-8392-b444b0ccd77c.mp4""]","[""doc_2275102c-bd2e-48dc-9397-bb368c2e2e36.pdf"", ""doc_fc57756f-9a13-4e79-9116-87130fb95d1c.pdf"", ""doc_de6e2c3b-856f-4e78-9480-54f80b01c0bd.pdf""]",True,[],[],"[""10aa2dcb-d826-48d3-86e0-c3b20d3b5b25"", ""f4cbe4a9-62a3-4fc4-9324-33a8454ce592""]",,low_risk,[],2025-08-12 08:38:00,2025-08-13 17:38:00
629b61af-4583-4998-8cec-746c6991a15d,PC01,crisis,law_order,Alert in Mancherial,Detailed alert description for Adilabad,low,within_24h,ward,Adilabad,Village B,,11.21,low,7991,586,95,field_report,Field Agent,high,volunteer_17,2025-01-26 10:42:00,2025-01-26 22:42:00,2025-01-26 22:42:00,resolved,p3_low,coordinator_4,2025-01-27 00:20:00,,2,"[{""action"": ""Team deployed"", ""taken_by"": ""officer_1"", ""taken_at"": ""2025-01-27T04:42:00"", ""outcome"": ""Partial""}, {""action"": ""Team deployed"", ""taken_by"": ""officer_5"", ""taken_at"": ""2025-01-27T03:42:00"", ""outcome"": ""Partial""}, {""action"": ""Team deployed"", ""taken_by"": ""officer_1"", ""taken_at"": ""2025-01-27T14:42:00"", ""outcome"": ""Successful""}]",Issue resolved through immediate action,coordinator_5,2025-01-28 21:42:00,2729.0,True,2025-02-18,Monitor situation for 29 days,"[""photo_7347a08c-6b04-481f-b131-b54e709ef75d.jpg"", ""photo_b00fe202-7112-48f3-974f-434e3f88165d.jpg"", ""photo_15c29e5a-bba9-4f91-98a7-e57862e5c366.jpg"", ""photo_58c466f7-f4bf-496b-a15b-6f633de4a91e.jpg"", ""photo_885b7ae6-d3a6-44ea-8a40-c4f1c10ae342.jpg""]",[],"[""doc_bd15870c-c559-470b-ae99-5d411c5abab9.pdf""]",True,[],"[""1637c461-007a-4133-9756-18f8f4d0c783""]",[],,medium_risk,"[""Coordinate with authorities"", ""Immediate site visit"", ""Public communication""]",2025-01-26 22:42:00,2025-01-28 16:42:00
bae52b44-d295-4f92-b359-0c3cdec7cf38,PC01,milestone,social,Alert in Nirmal,Detailed alert description for Adilabad,high,within_24h,ward,Nirmal,,,3.5,medium,1496,4726,44,volunteer,Field Agent,high,volunteer_12,2025-05-28 09:33:00,2025-05-28 21:33:00,2025-05-28 21:33:00,false_alarm,p1_high,coordinator_1,2025-05-28 22:09:00,,1,"[{""action"": ""Resources allocated"", ""taken_by"": ""officer_1"", ""taken_at"": ""2025-05-29T03:33:00"", ""outcome"": ""Successful""}]",Issue resolved through resource deployment,coordinator_3,2025-06-04 03:33:00,1831.0,False,2025-06-21,Monitor situation for 17 days,"[""photo_22586185-9452-4965-b6e2-9fa21bfdc2a3.jpg"", ""photo_9208fdb6-573c-42ca-b815-343815d89d72.jpg"", ""photo_9a3ade94-2e52-4092-8658-da537ef8a715.jpg""]","[""video_34243418-bef7-4037-aee5-4c4089fab59e.mp4""]",[],True,[],"[""c315c9f9-31a7-4970-8920-ada434b3e240"", ""cf65a7cd-be5f-4a05-be44-a1ba71bc1c9b""]","[""7a9dc162-ef7f-4936-b813-84249ea7110e""]",0.54,,[],2025-05-28 21:33:00,2025-05-30 15:33:00
f6d021b6-da01-4771-8e65-abc7de13f11f,PC01,anomaly,political,Alert in Khanapur,Detailed alert description for Adilabad,high,within_24h,constituency_wide,Adilabad,Village A,"{""lat"": 17.224454, ""lng"": 79.440997}",6.52,low,2245,4960,84,ai_detection,Twitter Monitor,high,volunteer_21,2025-11-02 07:09:00,2025-11-02 10:09:00,2025-11-02 10:09:00,acknowledged,p1_high,coordinator_5,2025-11-02 12:07:00,,1,[],,,,,,,,"[""photo_940b75ac-1007-4d34-8d2d-c4bb860f4aa4.jpg"", ""photo_5b6c2ddf-dbeb-4333-a775-2188e3ac6a03.jpg"", ""photo_a83aaec3-4a05-4495-8a92-b08aedf0145d.jpg""]",[],"[""doc_92967b35-813b-4d31-be24-b8463dee3faf.pdf"", ""doc_ec3c7bce-a10c-4903-8450-584e2950c982.pdf"", ""doc_19da914f-f7bc-4f2a-80f4-664d3fd37ad4.pdf""]",True,"[""44ac5ba5-dd99-4238-9983-a7c9e3e81bff"", ""027e4578-732a-4dad-baec-d5c73e804691""]",[],[],0.56,,"[""Deploy resources"", ""Coordinate with authorities"", ""Public communication"", ""Coordinate with authorities""]",2025-11-02 10:09:00,2025-11-03 06:09:00
6c642b33-e30e-4d38-b2fd-8d4deaae7926,PC01,crisis,health,Alert in Asifabad,Detailed alert description for Adilabad,critical,immediate,constituency_wide,Mancherial,,"{""lat"": 18.29894, ""lng"": 79.269282}",,medium,916,209,77,public_complaint,Local News,medium,volunteer_27,2025-07-26 19:26:00,2025-07-27 04:26:00,2025-07-27 04:26:00,false_alarm,p0_critical,coordinator_5,2025-07-27 05:13:00,senior_officer_1,1,"[{""action"": ""Meeting arranged"", ""taken_by"": ""officer_3"", ""taken_at"": ""2025-07-27T22:26:00"", ""outcome"": ""Partial""}, {""action"": ""Resources allocated"", ""taken_by"": ""officer_1"", ""taken_at"": ""2025-07-28T04:26:00"", ""outcome"": ""Partial""}, {""action"": ""Site visit"", ""taken_by"": ""officer_3"", ""taken_at"": ""2025-07-27T22:26:00"", ""outcome"": ""Partial""}]",Issue resolved through community engagement,coordinator_1,2025-07-27 08:26:00,1220.0,True,2025-08-20,,"[""photo_810a1a27-7013-4446-b610-5c4622e35e14.jpg""]","[""video_3ce8fb80-131d-4257-b9b8-f96012186621.mp4"", ""video_a7e1e7ad-c586-4724-ab04-ce2b2d32447c.mp4""]","[""doc_36eadbde-4b92-48e8-9982-40bb32c5a38d.pdf"", ""doc_803e8f58-9757-406f-b64d-e58aa662dc68.pdf""]",True,"[""5deceb39-da4e-4dc3-8fe4-ddeecc2eebdc"", ""bb2a1d20-a046-4197-998d-f71c7718b97f""]",[],"[""55b5b6f3-6af9-46ff-8d9b-0ff803de8912""]",,medium_risk,[],2025-07-27 04:26:00,2025-07-27 19:26:00
510699c0-3dea-4e8b-a12f-6c1e0ad3d0ca,PC01,anomaly,health,Alert in Boath,Detailed alert description for Adilabad,critical,immediate,ward,Khanapur,,"{""lat"": 17.805573, ""lng"": 78.782327}",,low,7650,4818,61,field_report,Local News,medium,volunteer_13,2025-01-24 19:34:00,2025-01-25 01:34:00,2025-01-25 01:34:00,monitoring,p0_critical,coordinator_1,2025-01-25 02:44:00,,3,"[{""action"": ""Meeting arranged"", ""taken_by"": ""officer_5"", ""taken_at"": ""2025-01-25T15:34:00"", ""outcome"": ""Partial""}, {""action"": ""Meeting arranged"", ""taken_by"": ""officer_2"", ""taken_at"": ""2025-01-25T06:34:00"", ""outcome"": ""In Progress""}, {""action"": ""Meeting arranged"", ""taken_by"": ""officer_2"", ""taken_at"": ""2025-01-25T02:34:00"", ""outcome"": ""Successful""}]",,,,,,,,"[""photo_6dd38898-7705-4700-bedf-254cb0acbedb.jpg"", ""photo_6c40052e-2e5c-4438-9050-0a55f2fc710e.jpg""]","[""video_9f41b7e9-857c-4b65-9027-0ad2c8cf8b5c.mp4""]","[""doc_f39ed53f-ccf0-4865-807c-49ae14548e7c.pdf"", ""doc_8be579b0-3cdf-486e-ae1a-06093858e9ff.pdf""]",False,"[""01782db7-ec82-46ed-a5d2-48ad60f1e971"", ""0236e351-d98b-4b89-955d-75731a865ad9""]",[],[],-0.5,low_risk,"[""Deploy resources"", ""Public communication"", ""Deploy resources""]",2025-01-25 01:34:00,2025-01-26 18:34:00
3b5e6edf-374a-4bba-bfcc-97674eba6d45,PC01,milestone,political,Alert in Asifabad,Detailed alert description for Adilabad,medium,routine,ward,Khanapur,,"{""lat"": 17.726437, ""lng"": 78.880405}",,medium,1242,1501,72,news,Community Leader,high,volunteer_15,2025-03-04 19:48:00,2025-03-05 01:48:00,2025-03-05 01:48:00,monitoring,p2_medium,coordinator_5,2025-03-05 02:15:00,,0,"[{""action"": ""Resources allocated"", ""taken_by"": ""officer_2"", ""taken_at"": ""2025-03-05T09:48:00"", ""outcome"": ""Successful""}]",,,,,,,,"[""photo_b5bd1fa0-10b7-470b-9f26-05b1e164e3dd.jpg"", ""photo_591c4883-1877-4971-be97-ea6903c4ac80.jpg"", ""photo_7ae89bc1-11ad-465d-b88b-c3de503e614a.jpg"", ""photo_eec2632e-c505-4a10-a892-cff4c799fd3a.jpg"", ""photo_0b6588a7-02f2-4e32-b2ef-44698d2f4982.jpg""]","[""video_1e1e2391-b641-47c3-be39-7e86febb084c.mp4""]","[""doc_fc90fc98-0048-4c4a-ad17-b534a2c607e6.pdf"", ""doc_67cca1b5-4e5d-4dc0-a1ee-2b15fc6362a5.pdf""]",True,[],"[""1549ec02-c762-412f-8bbd-64f0e443c8c0""]","[""004e7ee4-d028-45f2-8b64-eb084b6e6859"", ""5b631ef6-124d-4c9b-b285-f3fa079febc5"", ""0fed273b-286c-4609-8af4-9b7c08acf358""]",,high_risk,"[""Monitor situation"", ""Deploy resources""]",2025-03-05 01:48:00,2025-03-06 10:48:00
662598b1-7918-4654-8fac-de326c217c25,PC01,threat,infrastructure,Alert in Mancherial,Detailed alert description for Adilabad,critical,immediate,ward,Chennur,Village C,,8.09,high,1047,4385,36,field_report,Community Leader,medium,volunteer_1,2025-09-01 10:23:00,2025-09-01 19:23:00,2025-09-01 19:23:00,action_taken,p0_critical,coordinator_2,2025-09-01 20:14:00,,0,"[{""action"": ""Resources allocated"", ""taken_by"": ""officer_2"", ""taken_at"": ""2025-09-02T15:23:00"", ""outcome"": ""In Progress""}, {""action"": ""Resources allocated"", ""taken_by"": ""officer_5"", ""taken_at"": ""2025-09-02T04:23:00"", ""outcome"": ""In Progress""}]",,,,,,,,[],[],"[""doc_553d567f-0059-45d9-b8a8-395c25202fdc.pdf"", ""doc_0d622564-d267-4dfc-b1b5-6a918ee9d569.pdf""]",True,[],"[""d677ecf6-5c0d-4a15-a208-ac9e824d4fff"", ""b56a2163-9df0-4f40-b7d4-106a09dafd5e""]","[""0a33bd4d-3f3c-45dd-9110-56183d87b15b"", ""8247612e-d41c-480d-97b3-c94860ea04ef""]",0.73,high_risk,[],2025-09-01 19:23:00,2025-09-02 09:23:00
964518f8-92b6-48d8-a0cd-eb433e384d7d,PC01,threat,social,Alert in Asifabad,Detailed alert description for Adilabad,low,within_week,constituency_wide,Khanapur,,,,low,7154,1625,84,news,Local News,medium,volunteer_8,2025-02-08 12:32:00,2025-02-08 17:32:00,2025-02-08 17:32:00,monitoring,p3_low,coordinator_2,2025-02-08 18:58:00,,0,"[{""action"": ""Resources allocated"", ""taken_by"": ""officer_1"", ""taken_at"": ""2025-02-08T21:32:00"", ""outcome"": ""In Progress""}, {""action"": ""Site visit"", ""taken_by"": ""officer_4"", ""taken_at"": ""2025-02-08T21:32:00"", ""outcome"": ""Successful""}, {""action"": ""Team deployed"", ""taken_by"": ""officer_3"", ""taken_at"": ""2025-02-09T01:32:00"", ""outcome"": ""Partial""}]",,,,,,,,[],"[""video_b4884b2e-d3d1-4523-bd78-15a2681b6e45.mp4"", ""video_576d589e-e73e-4b91-9012-98f0cfa8006c.mp4""]","[""doc_e8608685-4bd5-4b72-a88c-a70ecdb9b7d2.pdf"", ""doc_2417756a-7ea7-40ca-84cc-2ab51deaea9c.pdf"", ""doc_f14ae03b-d1e5-4260-b5ca-79a0813244ab.pdf""]",False,"[""fa24767c-4c9e-42da-90ac-ba8275d04936"", ""aff685f4-8a8f-4dd6-8def-2b61100dfcc3""]","[""8019248b-5962-42eb-9083-7e58b8f31ea4"", ""134fd29f-5589-4471-8d31-3ca0d30a0277""]","[""ebb6e4d2-962c-4573-81dc-3d3684f04c83""]",0.21,medium_risk,[],2025-02-08 17:32:00,2025-02-09 10:32:00
b7863aea-090a-4fc1-af7d-c88b3bed517d,PC01,milestone,health,Alert in Boath,Detailed alert description for Adilabad,low,within_24h,ward,Khanapur,Village A,,,high,9333,1493,52,public_complaint,Local News,high,volunteer_20,2025-05-11 23:33:00,2025-05-12 11:33:00,2025-05-12 11:33:00,resolved,p3_low,coordinator_1,2025-05-12 12:15:00,,0,"[{""action"": ""Resources allocated"", ""taken_by"": ""officer_3"", ""taken_at"": ""2025-05-12T19:33:00"", ""outcome"": ""Partial""}, {""action"": ""Team deployed"", ""taken_by"": ""officer_1"", ""taken_at"": ""2025-05-12T21:33:00"", ""outcome"": ""In Progress""}, {""action"": ""Site visit"", ""taken_by"": ""officer_1"", ""taken_at"": ""2025-05-12T14:33:00"", ""outcome"": ""Successful""}]",Issue resolved through coordination with authorities,coordinator_3,2025-05-14 08:33:00,2673.0,True,,Monitor situation for 19 days,"[""photo_33ece0b3-d305-4d76-8de0-44cb8ccfe175.jpg"", ""photo_23f4b96f-4d5e-4894-89a4-97e9235d5524.jpg"", ""photo_620dc756-0cf1-4b2a-ab69-6b69c1438f9a.jpg""]",[],"[""doc_dc228390-9a80-4aef-a146-44c683ba1bba.pdf"", ""doc_ad14f38b-111b-4fb0-b9c6-c265a7a158db.pdf""]",False,"[""8a3578a3-52b7-4a7f-ab80-cca5762bc587"", ""d77511da-4548-495d-9600-27806024a0cc""]","[""083d2ce6-4f9c-487b-b106-becd8379f949"", ""cd74bb4b-29c6-4849-a052-8aadb9ffff2b""]","[""5727d81f-ddc1-4949-87f6-cf3c9ffc3ef9"", ""45e9f8cf-83b6-44cf-8242-7ccee415737f""]",-0.35,medium_risk,[],2025-05-12 11:33:00,2025-05-12 20:33:00
056d075f-d66a-45aa-b689-c4feb3dd800b,PC01,opportunity,infrastructure,Alert in Khanapur,Detailed alert description for Adilabad,low,within_24h,constituency_wide,Adilabad,Village C,"{""lat"": 17.443316, ""lng"": 78.992691}",9.36,medium,3604,1521,69,social_media,Community Leader,medium,volunteer_30,2025-03-25 14:09:00,2025-03-25 17:09:00,2025-03-25 17:09:00,action_taken,p3_low,coordinator_3,2025-03-25 18:06:00,,3,"[{""action"": ""Site visit"", ""taken_by"": ""officer_4"", ""taken_at"": ""2025-03-26T07:09:00"", ""outcome"": ""Successful""}, {""action"": ""Resources allocated"", ""taken_by"": ""officer_3"", ""taken_at"": ""2025-03-26T07:09:00"", ""outcome"": ""Partial""}]",,,,,,,,"[""photo_0381c665-0d1a-4205-8470-ce38692f2d2f.jpg"", ""photo_70b8efe0-68c1-4225-96af-555c0371eebb.jpg"", ""photo_126683f8-521e-4028-8d4c-14f4a2891beb.jpg""]","[""video_31822698-5a8b-42ef-bfa3-21ee54504294.mp4"", ""video_de5ec4b6-3b69-497f-a621-e886a26a21f3.mp4""]","[""doc_bccc008b-5980-456c-94b0-7e3953983978.pdf"", ""doc_d7930c2b-372a-4b80-877b-6148760ffdb0.pdf""]",True,"[""93396b51-5883-4bd6-8dad-2554e51ad593"", ""308dc57b-bfe0-4334-91cf-a32aaafcbae4""]",[],[],,high_risk,"[""Coordinate with authorities"", ""Deploy resources"", ""Public communication""]",2025-03-25 17:09:00,2025-03-26 18:09:00
94047840-84bc-495e-acd1-50fe76f362ac,PC01,opportunity,law_order,Alert in Mancherial,Detailed alert description for Adilabad,critical,immediate,constituency_wide,Adilabad,Village B,"{""lat"": 17.371375, ""lng"": 78.699873}",,high,3193,3085,85,volunteer,Local News,medium,volunteer_2,2025-03-12 22:56:00,2025-03-13 09:56:00,2025-03-13 09:56:00,action_taken,p0_critical,coordinator_2,2025-03-13 11:22:00,senior_officer_3,3,"[{""action"": ""Team deployed"", ""taken_by"": ""officer_5"", ""taken_at"": ""2025-03-13T19:56:00"", ""outcome"": ""In Progress""}, {""action"": ""Site visit"", ""taken_by"": ""officer_4"", ""taken_at"": ""2025-03-13T16:56:00"", ""outcome"": ""Successful""}]",,,,,,,,"[""photo_324e89af-c129-41e8-909a-23ef195b7140.jpg"", ""photo_f0a794d3-f0ae-4651-8c7e-6c6221bfc1ea.jpg"", ""photo_774b4aca-2f99-4e7d-b675-b7c949f28690.jpg"", ""photo_75d79219-c505-424f-8b8c-d213ee4e5bb6.jpg""]","[""video_b64a531d-fc24-4331-b492-f72d401c6c47.mp4""]",[],False,"[""b3f6eedb-22aa-4809-9ae5-15854130bc17"", ""d483f136-cbf1-4056-9760-8ddedb03768a""]",[],"[""9b52ece5-fec1-4db8-857a-d894bf3f28ab"", ""9a62d401-d17b-4ebe-80cb-ef60ed480492"", ""2838a5b7-f36f-4a1c-b2f3-690e98c96294""]",,,"[""Coordinate with authorities"", ""Deploy resources""]",2025-03-13 09:56:00,2025-03-13 11:56:00
13f6d8c0-9744-4861-abea-30721aa8b687,PC01,threat,political,Alert in Khanapur,Detailed alert description for Adilabad,high,routine,ward,Boath,,"{""lat"": 18.345737, ""lng"": 79.258678}",,low,2716,934,32,public_complaint,Local News,high,volunteer_4,2025-12-03 12:52:00,2025-12-03 20:52:00,2025-12-03 20:52:00,monitoring,p1_high,coordinator_2,2025-12-03 21:09:00,,0,"[{""action"": ""Meeting arranged"", ""taken_by"": ""officer_5"", ""taken_at"": ""2025-12-04T11:52:00"", ""outcome"": ""In Progress""}, {""action"": ""Team deployed"", ""taken_by"": ""officer_1"", ""taken_at"": ""2025-12-04T17:52:00"", ""outcome"": ""In Progress""}]",,,,,,,,"[""photo_c6e0c343-7ad0-4114-b094-7f21d2a78987.jpg"", ""photo_fccf70af-7b25-4a22-a8e1-768ddc224638.jpg""]","[""video_200e3143-cd43-4ffc-9e5e-25d0d4e4f791.mp4"", ""video_2e5eb9dc-f099-45a8-921d-e55a173e4d37.mp4""]","[""doc_0ea57ba0-32ba-410e-8d99-767a2a0fc42b.pdf""]",False,"[""e73f3a23-b276-4d41-8222-61286b07efca"", ""082d4bc3-1239-4786-84f9-70fb3097423a""]","[""3e157747-9a58-4e75-84f5-4be755e87c81""]","[""a94ed357-41cd-41f7-965d-b06e1e349631""]",0.07,,[],2025-12-03 20:52:00,2025-12-04 21:52:00
